time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa
5992,4813;3,6430;0,1281;59,5858;0,2582;59,5858
6049,4749;3,6430;0,1278;59,7862;0,2703;59,7862
6106,4202;3,6430;0,1277;62,3246;0,2593;62,3246
6164,5133;3,6430;0,1280;58,5170;0,2748;58,5170
6222,0361;3,6430;0,1273;58,7842;0,2822;58,7842
6279,6652;3,6430;0,1276;58,9178;0,2656;58,9178
6337,5761;3,6430;0,1281;60,5210;0,2758;60,5210
6395,9835;3,6430;0,1277;57,5818;0,2724;57,5818
6454,1433;3,6430;0,1268;59,2518;0,2796;59,2518
6513,0536;3,6430;0,1273;57,7154;0,2888;57,7154
6572,7371;3,6430;0,1272;58,4502;0,2762;58,4502
6632,0303;3,6430;0,1265;58,3834;0,2736;58,3834
6691,0024;3,6430;0,1267;57,3146;0,2920;57,3146
6750,5828;3,6430;0,1268;59,3186;0,2740;59,3186
6807,9172;3,6430;0,1271;58,5838;0,2778;58,5838
6865,7690;3,6430;0,1265;60,7882;0,2712;60,7882
6923,7107;3,6430;0,1267;59,9198;0,2719;59,9198
6983,5417;3,6430;0,1266;59,1850;0,2786;59,1850
7044,4298;3,6430;0,1262;58,1162;0,2842;58,1162
7105,1783;3,6430;0,1263;59,2518;0,2784;59,2518
7165,6157;3,6430;0,1259;60,3874;0,2729;60,3874
7222,6564;3,6430;0,1265;58,2498;0,2843;58,2498
7280,4276;3,6430;0,1258;58,6506;0,2858;58,6506
7337,8208;3,6430;0,1261;59,9866;0,2771;59,9866
7394,8995;3,6430;0,1259;58,7174;0,2824;58,7174
7452,5879;3,6430;0,1259;59,4522;0,2757;59,4522
7510,9398;3,6430;0,1262;58,8510;0,2845;58,8510
7568,1992;3,6430;0,1261;59,9866;0,2722;59,9866
7625,4054;3,6430;0,1259;58,7842;0,2857;58,7842
7683,5170;3,6430;0,1261;60,3874;0,2723;60,3874
7741,5664;3,6430;0,1259;59,0514;0,2799;59,0514
7798,9530;3,6430;0,1259;57,4482;0,2941;57,4482
7857,3784;3,6430;0,1263;60,6546;0,2744;60,6546
7914,8397;3,6430;0,1262;58,1162;0,2901;58,1162
7971,9782;3,6430;0,1262;59,6526;0,2711;59,6526
8029,9034;3,6430;0,1259;58,3834;0,2869;58,3834
8087,4585;3,6430;0,1259;58,6506;0,2912;58,6506
8145,5434;3,6430;0,1260;58,3166;0,2861;58,3166
8203,3635;3,6430;0,1279;56,7802;0,2902;56,7802
8260,5381;3,6430;0,1293;58,2498;0,3328;58,2498
8317,8514;3,6430;0,1295;62,1242;0,2694;62,1242
8376,0646;3,6430;0,1299;61,0554;0,2816;61,0554
8433,7346;3,6430;0,1298;49,9666;0,4017;49,9666
8490,8081;3,6263;0,1311;52,8390;0,3271;52,8390
8548,5882;3,6096;0,1299;61,3894;0,2943;61,3894
8606,5239;3,6430;0,1306;56,6466;0,4341;56,6466
8664,4292;3,6430;0,1298;59,7194;0,2809;59,7194
8721,8678;3,6430;0,1290;52,0374;0,3701;52,0374
8779,6039;3,6430;0,1295;60,5210;0,2867;60,5210
8838,2234;3,6430;0,1304;64,1951;0,2580;64,1951
8895,7233;3,6430;0,1300;53,5070;0,4677;53,5070
8953,7138;3,6430;0,1292;56,9806;0,3010;56,9806
9011,0623;3,6263;0,1293;59,0514;0,2699;59,0514
9068,6231;3,6430;0,1285;59,9198;0,2471;59,9198
9126,1408;3,6430;0,1291;59,5190;0,2990;59,5190
9184,0449;3,6430;0,1284;63,7943;0,2323;63,7943
9241,6792;3,6430;0,1296;52,3714;0,3460;52,3714
9298,6717;3,6430;0,1281;63,9279;0,2453;63,9279
9356,8508;3,6430;0,1277;55,1770;0,3019;55,1770
9414,1119;3,6430;0,1276;64,9299;0,2452;64,9299
9471,3574;3,6430;0,1272;61,3894;0,2795;61,3894
9529,4478;3,6430;0,1278;58,0494;0,2938;58,0494
9587,4863;3,6430;0,1272;55,4442;0,3655;55,4442
9646,3684;3,6430;0,1272;60,5878;0,2901;60,5878
9704,7647;3,6430;0,1266;59,1850;0,3030;59,1850
9763,6021;3,6430;0,1266;55,3106;0,3256;55,3106
9822,2967;3,6430;0,1267;62,6587;0,2553;62,6587
9881,3087;3,6430;0,1267;60,6546;0,2804;60,6546
9940,3837;3,6430;0,1266;57,5150;0,2924;57,5150
9998,7150;3,6430;0,1263;62,0574;0,2768;62,0574
10058,1970;3,6430;0,1262;57,8490;0,2980;57,8490
10116,6255;3,6430;0,1265;60,5878;0,2743;60,5878
10175,1653;3,6430;0,1261;64,5291;0,2353;64,5291
10232,4169;3,6430;0,1261;61,3894;0,2843;61,3894
10291,6169;3,6430;0,1262;64,2619;0,2392;64,2619
10351,8708;3,6430;0,1257;63,5939;0,2503;63,5939
10413,4898;3,6430;0,1255;61,7234;0,2763;61,7234
10474,1898;3,6430;0,1257;63,3935;0,2412;63,3935
10531,3006;3,6430;0,1262;60,3874;0,2792;60,3874
10589,2486;3,6430;0,1256;64,4623;0,2465;64,4623
10646,8172;3,6430;0,1259;62,3246;0,2615;62,3246
10704,6754;3,6430;0,1257;63,5271;0,2683;63,5271
10763,1713;3,6430;0,1253;62,3246;0,2642;62,3246
10821,3590;3,6430;0,1256;58,1830;0,2941;58,1830
10880,8452;3,6430;0,1253;62,4582;0,2679;62,4582
10939,8007;3,6430;0,1252;58,8510;0,2979;58,8510
11000,4008;3,6430;0,1249;59,1850;0,2997;59,1850
11059,9515;3,6430;0,1251;64,7295;0,2417;64,7295
11117,2037;3,6430;0,1253;63,9279;0,2386;63,9279
11174,1572;3,6430;0,1248;60,5210;0,2690;60,5210
11232,4951;3,6430;0,1252;62,1910;0,2510;62,1910
11289,9518;3,6430;0,1250;61,6566;0,2666;61,6566
11347,3442;3,6430;0,1249;59,3186;0,3088;59,3186
11405,8224;3,6430;0,1249;61,0554;0,2767;61,0554
11463,5179;3,6430;0,1258;60,7214;0,2779;60,7214
11521,9139;3,6430;0,1248;61,3894;0,2548;61,3894
11579,7027;3,6430;0,1248;64,4623;0,2412;64,4623
11636,8535;3,6430;0,1248;62,3914;0,2681;62,3914
11694,6800;3,6430;0,1246;62,4582;0,2645;62,4582
11753,0106;3,6430;0,1248;60,8550;0,2881;60,8550
11810,2691;3,6430;0,1246;63,4603;0,2419;63,4603
