time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa
1746,0730;92,0415;0,5662;58,2759;1,0565;58,2759
1763,0196;94,8097;0,5305;57,5862;0,9540;57,5862
1779,0468;93,4256;0,5399;62,0690;0,9045;62,0690
1795,2759;95,8478;0,5231;63,7931;0,8559;63,7931
1811,9077;97,2318;0,5132;62,4138;0,8909;62,4138
1828,8188;95,8478;0,5165;59,3103;0,9249;59,3103
1845,7570;98,9619;0,4971;62,4138;0,8834;62,4138
1862,1743;96,8858;0,4885;66,2069;0,8253;66,2069
1878,3416;98,9619;0,4832;61,7241;0,8684;61,7241
1896,1791;98,9619;0,4709;65,8621;0,8385;65,8621
1913,3516;98,9619;0,4831;65,5172;0,8355;65,5172
1930,6534;98,6159;0,4713;65,5172;0,8296;65,5172
1947,8626;98,9619;0,4651;62,4138;0,8668;62,4138
1965,2750;99,3080;0,4582;63,4483;0,8766;63,4483
1982,5719;98,9619;0,4495;66,8966;0,8391;66,8966
1999,2329;99,3080;0,4511;66,2069;0,8283;66,2069
2016,3448;99,6540;0,4597;66,5517;0,8618;66,5517
2033,5685;99,3080;0,4470;62,0690;0,8633;62,0690
2051,2435;98,9619;0,4477;64,8276;0,8478;64,8276
2069,3445;99,3080;0,4433;57,9310;0,9081;57,9310
2086,2973;100,0000;0,4336;61,0345;0,8565;61,0345
2103,0912;100,0000;0,4289;62,7586;0,8603;62,7586
2119,6774;100,0000;0,4293;60,3448;0,8787;60,3448
2136,0846;100,0000;0,4300;63,1034;0,8541;63,1034
2153,0222;100,0000;0,4302;63,4483;0,8253;63,4483
2169,8854;100,0000;0,4228;64,4828;0,8350;64,4828
2186,0465;100,0000;0,4254;63,7931;0,8434;63,7931
2203,0627;100,0000;0,4287;63,7931;0,8477;63,7931
2219,3390;100,0000;0,4224;63,4483;0,8432;63,4483
2235,6798;100,0000;0,4322;64,1379;0,8411;64,1379
2252,1999;100,0000;0,4216;64,4828;0,8429;64,4828
2268,8479;100,0000;0,4245;64,4828;0,8460;64,4828
2285,7281;100,0000;0,4300;63,4483;0,8527;63,4483
2302,6228;100,0000;0,4243;63,4483;0,8492;63,4483
2319,3513;99,6540;0,4391;64,4828;0,8460;64,4828
2336,1236;100,0000;0,4270;64,4828;0,8464;64,4828
2352,6147;100,0000;0,4159;65,1724;0,8454;65,1724
2369,3882;98,2699;0,4672;56,2069;0,9411;56,2069
2386,3345;97,9239;0,5008;61,7241;0,9837;61,7241
2403,4537;96,1938;0,5178;52,7586;1,1224;52,7586
2420,3910;97,9239;0,5035;48,9655;1,4885;48,9655
2437,8719;96,5398;0,5116;53,1034;1,1528;53,1034
2455,2262;98,6159;0,4866;52,7586;1,3900;52,7586
2472,5243;95,8478;0,5095;60,3448;0,9983;60,3448
2491,6934;95,1557;0,5371;50,0000;1,3210;50,0000
2509,2869;94,4637;0,5569;54,4828;1,1676;54,4828
2526,5201;97,5779;0,5115;62,0690;0,8737;62,0690
2542,8332;98,9619;0,4862;57,9310;1,0723;57,9310
2559,0530;96,8858;0,5088;50,6897;1,5103;50,6897
2576,1634;90,6574;0,5915;47,9310;1,3218;47,9310
2592,7738;95,8478;0,4950;45,5172;1,2393;45,5172
2609,6689;97,9239;0,4845;47,2414;1,1916;47,2414
2626,6167;96,5398;0,5001;53,7931;1,4313;53,7931
2643,5804;99,6540;0,4714;44,8276;1,9074;44,8276
2661,3589;97,9239;0,4875;42,4138;1,9484;42,4138
2679,0107;97,9239;0,4808;52,7586;1,0278;52,7586
2696,6376;96,5398;0,5241;55,8621;1,3310;55,8621
2714,4412;95,8478;0,5233;51,7241;1,2134;51,7241
