;config_114_avg
Standard_Acc;97,2600
RMSCE;0,0830
gaussian_noise;93,5040
shot_noise;94,5380
impulse_noise;96,9460
defocus_blur;95,5400
glass_blur;90,5660
motion_blur;93,0740
zoom_blur;94,7080
snow;93,5000
frost;94,1840
fog;95,0780
brightness;96,8860
contrast;95,5700
elastic_transform;93,4820
pixelate;91,1560
jpeg_compression;88,7040
speckle_noise;94,7240
gaussian_blur;94,3560
spatter;95,0820
saturate;96,1640
blue_noise;90,3340
brownish_noise;79,2300
checkerboard_cutout;91,5480
circular_motion_blur;95,3080
inverse_sparkles;83,3000
lines;85,0180
pinch_and_twirl;94,9720
ripple;89,1420
sparkles;90,8500
transverse_chromatic_abberation;85,5280
Acc_C-all-19;94,0927
Acc_C-original-15;93,8291
Acc_C-bar-10;88,5230
Acc_all-ex-pixelwise-noise-24;91,7894
RMSCE_C;0,0765
uniform-l1,32.9333,False,max;96,8600
uniform-l2,1.37533,False,max;96,5000
uniform-linf,0.1059,False,max;93,7900
uniform-l0.5,25000.0,True,max;97,1500
uniform-l1,25.0,True,max;97,0300
uniform-l2,0.5,True,max;97,0400
uniform-l10,0.03,True,max;97,0000
uniform-l50,0.02,True,max;97,0200
uniform-linf,0.01,True,max;96,9600
uniform-l0-impulse,0.01,True,max;97,1700
uniform-l0-impulse,0.02,True,max;97,1100
uniform-l0-impulse,0.05,True,max;96,8100
uniform-l0-impulse,0.1,True,max;96,2100
uniform-l0-impulse,0.2,True,max;94,2500
uniform-l0-impulse,0.5,True,max;71,7100
uniform-l0.5,50000.0,False,max;96,9200
uniform-l0.5,100000.0,False,max;96,6800
uniform-l0.5,200000.0,False,max;95,8600
uniform-l0.5,500000.0,False,max;93,5800
uniform-l0.5,1000000.0,False,max;87,9000
uniform-l0.5,2000000.0,False,max;72,5700
uniform-l1,20.0,False,max;97,0100
uniform-l1,50.0,False,max;96,6900
uniform-l1,100.0,False,max;95,6600
uniform-l1,200.0,False,max;93,3900
uniform-l1,500.0,False,max;83,6100
uniform-l1,1000.0,False,max;57,8700
uniform-l2,0.5,False,max;97,0600
uniform-l2,1.0,False,max;96,9100
uniform-l2,2.0,False,max;96,1100
uniform-l2,5.0,False,max;92,3800
uniform-l2,10.0,False,max;83,5200
uniform-l2,20.0,False,max;55,5200
uniform-l10,0.02,False,max;97,2200
uniform-l10,0.05,False,max;96,8300
uniform-l10,0.1,False,max;95,9900
uniform-l10,0.2,False,max;93,6600
uniform-l10,0.5,False,max;82,3900
uniform-l10,1.0,False,max;54,6900
uniform-l50,0.01,False,max;97,1900
uniform-l50,0.02,False,max;97,0200
uniform-l50,0.05,False,max;96,3500
uniform-l50,0.1,False,max;94,4300
uniform-l50,0.2,False,max;88,7500
uniform-l50,0.5,False,max;61,7900
uniform-linf,0.01,False,max;97,2400
uniform-linf,0.02,False,max;96,9100
uniform-linf,0.05,False,max;96,0000
uniform-linf,0.1,False,max;93,9700
uniform-linf,0.2,False,max;87,8200
uniform-linf,0.5,False,max;58,4900
Class Separation Robustness;95,7167
imperceptible Robustness;97,0333
Average p-norm robustness;88,7914
