;Train-Train;Train-Test;Test-Test
150th;7879,445312;11193,415039;12255,206055
151th;7885,415527;11259,275391;12308,470703
152th;7890,274902;11263,173828;12357,951172
153th;7908,918457;11314,598633;12371,384766
154th;7922,435059;11320,275391;12448,556641
155th;7975,002930;11378,027344;12456,029297
156th;8002,360352;11383,992188;12463,460938
157th;8030,947266;11471,818359;12483,967773
158th;8044,211914;11476,474609;12531,902344
159th;8044,211914;11521,295898;12545,719727
160th;8053,194336;11546,261719;12575,955078
161th;8070,409180;11577,359375;12579,630859
162th;8076,383301;11577,535156;12655,370117
163th;8077,716797;11579,633789;12660,296875
164th;8077,716797;11584,940430;12672,617188
165th;8080,499023;11623,125000;12698,921875
166th;8081,202148;11648,709961;12714,054688
167th;8101,592773;11737,187500;12722,915039
168th;8105,562988;11743,869141;12744,495117
169th;8120,418945;11748,785156;12750,578125
170th;8126,904785;11770,111328;12750,618164
171th;8126,904785;11786,895508;12780,817383
172th;8147,493164;11799,358398;12801,417969
173th;8150,688477;11799,462891;12804,427734
174th;8152,536133;11815,136719;12811,710938
175th;8155,484375;11821,615234;12859,770508
176th;8155,484375;11844,517578;12860,552734
177th;8165,813477;11851,212891;12871,541016
178th;8170,454590;11868,101562;12871,541016
179th;8201,043945;11874,529297;12879,289062
180th;8206,759766;11877,652344;12885,130859
181th;8206,759766;11896,821289;12906,868164
182th;8224,525391;11928,296875;12915,869141
183th;8229,491211;11961,283203;12927,312500
184th;8230,505859;11993,761719;12988,297852
185th;8231,028320;11998,392578;13009,616211
186th;8231,771484;12006,308594;13067,576172
187th;8232,080078;12016,576172;13071,544922
188th;8250,829102;12113,184570;13075,705078
189th;8266,001953;12182,136719;13107,310547
190th;8266,605469;12182,326172;13123,625000
191th;8273,430664;12203,590820;13186,642578
192th;8291,660156;12214,220703;13187,202148
193th;8328,810547;12217,980469;13256,306641
194th;8332,369141;12227,955078;13260,914062
195th;8359,868164;12241,682617;13268,997070
196th;8362,164062;12254,968750;13337,618164
197th;8364,304688;12263,115234;13402,479492
198th;8368,996094;12276,852539;13418,815430
199th;8368,996094;12286,239258;13483,284180
200th;8373,896484;12307,816406;13486,937500
