;Train-Train;Train-Test;Test-Test
non-zero images;4512,000000;1128,000000;1128,000000
Mean Distance;0,500349;0,503281;0,532550
Minimal Distance;0,021271;0,145177;0,197696
2th;0,021271;0,206180;0,197696
3th;0,138141;0,206935;0,203019
4th;0,138141;0,207045;0,210524
5th;0,156698;0,221254;0,210524
6th;0,156698;0,227091;0,224463
7th;0,168458;0,228404;0,246045
8th;0,168458;0,236805;0,251949
9th;0,183378;0,237720;0,262934
10th;0,187820;0,238435;0,262934
11th;0,187820;0,239308;0,266252
12th;0,188667;0,241803;0,272545
13th;0,188667;0,243359;0,272545
14th;0,192840;0,247578;0,273209
15th;0,192962;0,252001;0,278380
16th;0,195323;0,252842;0,281398
17th;0,197747;0,253205;0,281398
18th;0,199322;0,256394;0,284880
19th;0,199322;0,261333;0,291763
20th;0,201794;0,263876;0,292794
21th;0,202971;0,268371;0,292794
22th;0,205678;0,269697;0,294123
23th;0,207186;0,272231;0,294661
24th;0,208176;0,274958;0,294661
25th;0,208176;0,278684;0,295919
26th;0,209256;0,280008;0,296218
27th;0,209475;0,280662;0,297024
28th;0,209475;0,280836;0,297024
29th;0,209990;0,284554;0,298791
30th;0,210979;0,285154;0,300954
31th;0,213768;0,293725;0,302260
32th;0,217038;0,294234;0,304843
33th;0,217537;0,294421;0,306565
34th;0,218168;0,294519;0,308075
35th;0,218168;0,296775;0,311334
36th;0,218512;0,297813;0,311555
37th;0,224200;0,297823;0,313109
38th;0,226493;0,299180;0,313649
39th;0,226798;0,301420;0,313683
40th;0,228373;0,302513;0,316633
41th;0,228405;0,303209;0,317024
42th;0,228405;0,303945;0,317098
43th;0,228580;0,306294;0,323033
44th;0,228657;0,307397;0,323338
45th;0,229340;0,307518;0,324288
46th;0,229956;0,308288;0,325419
47th;0,230027;0,309088;0,326959
48th;0,230807;0,310347;0,327147
49th;0,230814;0,310700;0,331465
50th;0,231789;0,310783;0,332290
51th;0,231976;0,310801;0,333298
52th;0,233837;0,311439;0,335342
53th;0,234885;0,314087;0,336839
54th;0,234885;0,315293;0,338795
55th;0,235958;0,316978;0,340137
56th;0,236131;0,317948;0,343274
57th;0,238231;0,318277;0,345372
58th;0,239231;0,320625;0,345968
59th;0,242852;0,321852;0,346411
60th;0,243669;0,323163;0,351595
61th;0,243672;0,323310;0,351872
62th;0,243938;0,325962;0,352705
63th;0,246363;0,326620;0,352921
64th;0,246496;0,326648;0,353538
65th;0,246496;0,327201;0,354155
66th;0,246849;0,327572;0,357761
67th;0,248085;0,328718;0,360676
68th;0,248976;0,330481;0,362894
69th;0,248976;0,330536;0,364527
70th;0,249071;0,330544;0,365862
71th;0,251040;0,330666;0,366434
72th;0,251643;0,333209;0,367701
73th;0,252294;0,333781;0,370644
74th;0,252294;0,334365;0,371041
75th;0,252705;0,336330;0,372078
76th;0,254535;0,336595;0,373333
77th;0,254852;0,336759;0,374703
78th;0,255413;0,337142;0,375218
79th;0,255548;0,337811;0,375507
80th;0,256028;0,339824;0,375641
81th;0,256451;0,340324;0,375982
82th;0,256451;0,342252;0,376519
83th;0,256561;0,343092;0,378094
84th;0,256561;0,344511;0,378413
85th;0,256579;0,345954;0,378929
86th;0,257591;0,346512;0,381021
87th;0,257591;0,347663;0,381590
88th;0,258289;0,348329;0,381687
89th;0,258618;0,348780;0,381841
90th;0,258711;0,348806;0,382445
91th;0,258793;0,348914;0,383426
92th;0,258793;0,349832;0,384662
93th;0,258962;0,351497;0,385160
94th;0,259188;0,351573;0,385366
95th;0,259391;0,352749;0,386655
96th;0,260202;0,353615;0,387845
97th;0,260497;0,353754;0,389407
98th;0,260712;0,355457;0,389851
99th;0,261629;0,359795;0,390160
100th;0,262096;0,362022;0,391199
101th;0,262257;0,362377;0,392784
102th;0,264035;0,363410;0,393123
103th;0,264465;0,364920;0,393687
104th;0,264465;0,365477;0,393779
105th;0,265243;0,365541;0,393907
106th;0,266007;0,366739;0,394195
107th;0,266763;0,367922;0,395925
108th;0,266795;0,369448;0,397368
109th;0,266808;0,369968;0,397430
110th;0,266808;0,369992;0,398494
111th;0,266924;0,370425;0,398529
112th;0,268256;0,371156;0,398648
113th;0,268905;0,371784;0,399665
114th;0,268963;0,372121;0,400471
115th;0,270192;0,372135;0,401082
116th;0,270234;0,373088;0,401730
117th;0,270486;0,374341;0,403975
118th;0,270871;0,374454;0,404020
119th;0,271715;0,376235;0,405229
120th;0,271907;0,376381;0,406075
121th;0,272191;0,376481;0,406443
122th;0,272444;0,376668;0,407030
123th;0,273027;0,377404;0,408076
124th;0,273122;0,378070;0,408210
125th;0,273239;0,378346;0,409118
126th;0,273332;0,378725;0,410258
127th;0,273730;0,378868;0,414280
128th;0,273974;0,379905;0,415079
129th;0,275198;0,381688;0,415102
130th;0,276281;0,382737;0,415359
131th;0,277268;0,383509;0,417133
132th;0,277473;0,383976;0,418140
133th;0,278813;0,384206;0,418427
134th;0,279057;0,384913;0,418669
135th;0,279677;0,387757;0,419554
136th;0,280474;0,388711;0,420163
137th;0,281075;0,389381;0,420394
138th;0,281344;0,390041;0,422438
139th;0,281647;0,390214;0,422726
140th;0,281831;0,391101;0,423663
141th;0,283237;0,392714;0,423670
142th;0,283588;0,393163;0,424307
143th;0,283588;0,394341;0,424396
144th;0,284064;0,394650;0,424402
145th;0,285623;0,394841;0,424734
146th;0,286790;0,395170;0,426328
147th;0,286882;0,395610;0,427703
148th;0,287060;0,395614;0,427740
149th;0,287116;0,395632;0,428507
150th;0,287430;0,395767;0,429438
151th;0,287430;0,396863;0,430633
152th;0,287554;0,397124;0,431333
153th;0,287947;0,397239;0,432278
154th;0,288025;0,398811;0,432314
155th;0,288269;0,399730;0,432948
156th;0,288376;0,401456;0,432964
157th;0,288427;0,401800;0,433601
158th;0,288432;0,401891;0,434462
159th;0,288834;0,402104;0,434670
160th;0,289547;0,403013;0,435605
161th;0,289821;0,403269;0,435973
