;Train-Train;Train-Test;Test-Test
non-zero images;4512,000000;1128,000000;1128,000000
Mean Distance;65,842674;66,573082;68,852386
Minimal Distance;1,391941;15,705387;19,145311
2th;1,391941;17,613304;19,145872
3th;15,016917;17,990883;19,686756
4th;15,016917;18,900463;20,474070
5th;15,615809;19,025476;20,474070
6th;15,615809;19,454473;22,729033
7th;15,942769;19,594622;22,729033
8th;15,942769;20,048183;22,920912
9th;16,307634;20,283730;23,198742
10th;16,307634;20,288544;23,320395
11th;17,011944;20,489708;23,474388
12th;17,011944;20,567831;23,474388
13th;17,095049;20,693718;24,772402
14th;17,499107;21,359575;24,924534
15th;17,592224;21,529051;25,136290
16th;18,073986;21,845516;25,786686
17th;18,626389;22,526026;25,787367
18th;18,755556;23,091022;25,791229
19th;18,825680;23,493933;25,939533
20th;18,825680;23,988930;26,069431
21th;18,857672;24,400307;26,183846
22th;19,203245;24,606592;26,188171
23th;19,355232;24,687105;26,188171
24th;19,355232;24,835238;26,378277
25th;19,612656;25,212456;26,854790
26th;19,654871;25,467453;26,854790
27th;20,052324;25,571896;27,088974
28th;20,074276;25,726171;27,638201
29th;20,074276;25,871981;28,456793
30th;20,500954;25,903103;28,828697
31th;20,596039;26,070068;28,872362
32th;20,664734;26,304853;28,969339
33th;20,735075;26,316582;28,969339
34th;20,735075;26,359148;29,200747
35th;20,817472;26,405195;29,200747
36th;20,870426;26,563309;29,631229
37th;20,937967;26,660774;29,631493
38th;20,956160;26,681900;29,977596
39th;21,665968;26,741821;29,977596
40th;21,714231;27,163424;30,704742
41th;21,714231;27,210550;30,706142
42th;21,808470;27,313019;31,601770
43th;21,853426;27,361727;31,737757
44th;21,871071;27,608875;31,745985
45th;21,956394;27,734371;31,913580
46th;22,046383;27,931276;31,913580
47th;22,095320;27,952806;32,016781
48th;22,152956;28,053799;32,034161
49th;22,210287;28,098877;32,080830
50th;22,345388;28,418468;32,127857
51th;22,364239;28,474838;32,237385
52th;22,617315;28,563595;32,369328
53th;22,685003;28,571047;32,384651
54th;22,692579;28,651325;32,515862
55th;22,692579;28,808636;32,515862
56th;22,746706;28,907450;32,522346
57th;22,811729;28,935272;32,679432
58th;22,811729;28,961182;32,679790
59th;22,884645;28,982754;32,812679
60th;23,232183;29,081379;32,813629
61th;23,232183;29,408360;32,922256
62th;23,247480;29,469994;33,106598
63th;23,298002;29,529911;33,212517
64th;23,389702;29,598682;33,236721
65th;23,435417;29,831034;33,347603
66th;23,435417;29,934694;33,354630
67th;23,461737;30,143084;33,459164
68th;23,510635;30,271944;33,461498
69th;23,510635;30,694946;33,524712
70th;23,521433;30,715427;33,529720
71th;23,521433;30,730408;33,605244
72th;23,562748;30,778126;33,664009
73th;23,649458;30,805336;33,818104
74th;23,649458;30,881578;33,826534
75th;23,649788;30,948231;33,893387
76th;23,982416;30,973400;33,928692
77th;24,000326;31,112070;33,941933
78th;24,169085;31,162298;33,943081
79th;24,304546;31,212055;34,039497
80th;24,393103;31,414566;34,174873
81th;24,484409;31,428490;34,710407
82th;24,559717;31,746677;34,731895
83th;24,630711;31,779760;34,884407
