time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa
72,8424;10,3550;2,3151;9,2200;2,3053;9,2200
147,6761;11,5437;2,3526;10,7250;2,4213;10,7250
222,2988;18,0688;2,2465;10,0300;2,3334;10,0300
298,6025;28,4725;1,9940;23,4250;2,0206;23,4250
373,5171;42,9763;1,7347;74,4000;0,8980;74,4000
453,0341;56,6650;1,4785;61,7950;1,1230;61,7950
535,5495;65,9950;1,2860;67,0150;1,0558;67,0150
612,5860;70,8800;1,1802;90,4300;0,5410;90,4300
697,2399;74,1725;1,1067;90,7400;0,5113;90,7400
772,3083;76,5738;1,0557;90,8250;0,5173;90,8250
852,3619;77,8000;1,0247;94,0250;0,4382;94,0250
938,0491;79,1500;0,9976;91,4400;0,4547;91,4400
1017,6986;80,1813;0,9745;92,7150;0,4553;92,7150
1095,4728;80,7512;0,9629;95,3300;0,3994;95,3300
1182,1181;81,4450;0,9459;96,9200;0,4002;96,9200
1259,2095;81,8825;0,9333;92,7100;0,4815;92,7100
1336,5384;82,5012;0,9234;97,7600;0,3495;97,7600
1425,1133;82,7850;0,9155;97,4200;0,3487;97,4200
1508,1072;83,0438;0,9071;97,0300;0,3655;97,0300
1590,2025;83,5837;0,8977;98,3450;0,3565;98,3450
1666,0585;83,9912;0,8887;98,1200;0,3336;98,1200
1745,1969;83,8888;0,8885;97,7700;0,3369;97,7700
1825,6907;84,2913;0,8802;98,6950;0,3143;98,6950
1907,4194;84,7050;0,8720;98,5300;0,3261;98,5300
1993,7608;85,1637;0,8633;98,6000;0,3357;98,6000
2074,1137;85,2638;0,8580;98,8950;0,3053;98,8950
2158,7030;85,4250;0,8565;98,7300;0,3472;98,7300
2244,1884;85,8950;0,8458;98,9300;0,3448;98,9300
2319,7133;86,1437;0,8406;98,8550;0,3303;98,8550
2398,1450;86,2712;0,8375;99,4000;0,3098;99,4000
2473,1603;86,5025;0,8317;99,5650;0,2941;99,5650
2547,8294;86,7325;0,8258;99,5000;0,3135;99,5000
2629,2566;87,0100;0,8200;99,5600;0,3142;99,5600
2712,8419;87,2537;0,8138;99,7150;0,2887;99,7150
2791,7255;87,4450;0,8094;99,6750;0,3145;99,6750
2868,9906;87,6663;0,8031;99,8250;0,2911;99,8250
2943,2958;88,0950;0,7954;99,8450;0,2955;99,8450
3017,8655;88,0050;0,7955;99,8050;0,3010;99,8050
3095,0034;88,4087;0,7876;99,9000;0,2853;99,9000
3172,2020;88,5138;0,7839;99,8550;0,2969;99,8550
3252,7268;88,8675;0,7771;99,8250;0,3000;99,8250
3357,6942;89,0512;0,7733;99,8800;0,2906;99,8800
3449,4293;88,9638;0,7746;99,8800;0,3109;99,9050
3539,5904;89,1238;0,7713;99,9550;0,2973;99,9100
3628,7584;89,3337;0,7661;99,9250;0,2892;99,9350
3719,6028;89,0450;0,7719;99,9100;0,2945;99,9350
3813,7743;88,9363;0,7740;99,9000;0,2941;99,9100
3904,3994;89,2775;0,7686;99,8950;0,2948;99,7600
3997,0319;88,9862;0,7741;99,8900;0,2965;99,7800
4087,0683;89,0713;0,7717;99,9200;0,2959;99,7600
