time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa
185,0610;10,3700;2,3132;10,3150;2,3012;10,3150
371,5531;11,5850;2,3506;10,1900;2,3872;10,1900
559,0897;16,4438;2,2820;10,0400;2,3639;10,0400
744,2717;29,1663;1,9861;52,7050;1,3041;52,7050
930,7060;40,8762;1,7779;68,2700;1,0514;68,2700
1111,4720;52,8800;1,5479;70,4800;0,9679;70,4800
1297,6840;60,5613;1,3916;77,8150;0,7389;77,8150
1485,2910;66,6213;1,2718;50,8000;1,5678;50,8000
1671,7599;69,9725;1,1966;89,7900;0,4810;89,7900
1856,8916;72,3962;1,1439;95,2950;0,3644;95,2950
2044,0201;74,2138;1,1043;93,2400;0,4300;93,2400
2228,7531;76,0863;1,0630;93,9600;0,4085;93,9600
2415,8392;77,2050;1,0401;81,9850;0,8082;81,9850
2604,4686;78,0238;1,0173;96,3950;0,3622;96,3950
2787,2100;78,7700;1,0025;96,7750;0,3742;96,7750
2972,5831;79,5500;0,9850;97,5500;0,3041;97,5500
3157,6059;80,2262;0,9738;97,4950;0,3590;97,4950
3344,4381;80,6238;0,9608;93,9050;0,4160;93,9050
3531,9055;80,9313;0,9568;97,5200;0,3133;97,5200
3718,1566;81,4862;0,9441;96,7200;0,3450;96,7200
3905,9366;81,9188;0,9356;98,2200;0,3153;98,2200
4091,5138;82,3825;0,9240;97,4650;0,3310;97,4650
4276,1796;82,7300;0,9161;97,9250;0,3327;97,9250
4462,0828;83,0238;0,9098;98,3200;0,3155;98,3200
4649,6647;83,2163;0,9063;99,3700;0,2856;99,3700
4836,3975;83,3675;0,8986;97,9050;0,3607;97,9050
5022,7206;83,7150;0,8920;99,2450;0,3198;99,2450
5206,1046;84,1775;0,8819;99,3950;0,3115;99,3950
5393,2742;84,7225;0,8718;99,2650;0,3034;99,2650
5577,6509;84,6488;0,8715;99,5650;0,2973;99,5650
5763,2472;85,2288;0,8594;99,3150;0,3150;99,3150
5949,7142;85,3475;0,8549;99,4100;0,2874;99,4100
6134,0916;85,7425;0,8467;99,5400;0,2914;99,5400
6324,7031;86,1100;0,8406;99,6500;0,2932;99,6500
6509,5629;86,3912;0,8344;99,6750;0,2840;99,6750
6695,5129;86,5012;0,8290;99,7050;0,3117;99,7050
6882,2742;86,7488;0,8256;99,7050;0,2906;99,7050
7069,7721;87,0938;0,8176;99,8250;0,2951;99,8250
7254,0605;87,2188;0,8139;99,8650;0,2988;99,8650
7438,4849;87,3450;0,8104;99,9000;0,3010;99,9000
7624,7585;87,8063;0,7997;99,8550;0,3073;99,8550
7826,7147;88,0425;0,7947;99,9150;0,2963;99,9150
8023,8856;88,0675;0,7955;99,9350;0,3052;99,9650
8225,1954;88,0000;0,7971;99,9450;0,3130;99,9700
8424,6963;87,9737;0,7971;99,9150;0,2926;99,6950
8627,2015;88,0675;0,7956;99,9150;0,3014;99,9300
8826,5438;88,0350;0,7954;99,9450;0,2981;73,3550
9025,6103;88,1937;0,7909;99,9250;0,2996;99,8600
9227,1775;88,0700;0,7939;99,8900;0,2963;49,1150
9425,4496;88,1325;0,7940;99,9100;0,2985;99,5150
