time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa
91,9039;10,6263;2,3133;10,3050;2,3033;10,3050
183,1055;11,4913;2,3588;11,2300;2,3539;11,2300
274,9395;17,3050;2,2622;13,3050;2,3845;13,3050
368,2525;27,5738;2,0127;46,2300;1,4595;46,2300
460,0769;42,5700;1,7409;69,1450;0,9403;69,1450
552,1538;53,4025;1,5391;42,3150;1,8371;42,3150
644,9253;61,9725;1,3678;76,6450;0,9485;76,6450
736,3596;67,1437;1,2624;80,3650;0,7429;80,3650
827,9601;70,9700;1,1752;83,4450;0,6873;83,4450
919,5745;73,4213;1,1219;88,4600;0,5477;88,4600
1011,3203;75,0150;1,0849;95,7200;0,3609;95,7200
1103,1711;76,5113;1,0547;83,6000;0,7630;83,6000
1195,1472;77,6363;1,0286;90,8600;0,4948;90,8600
1286,6487;78,2950;1,0129;71,7500;1,0394;71,7500
1379,6164;79,2500;0,9950;89,6950;0,5995;89,6950
1471,6836;79,7575;0,9815;93,3700;0,4583;93,3700
1563,7897;80,6188;0,9656;97,9550;0,4490;97,9550
1655,3768;80,9463;0,9573;97,2350;0,3372;97,2350
1747,0271;81,2800;0,9489;95,1600;0,5066;95,1600
1839,1425;81,7575;0,9380;98,1900;0,3223;98,1900
1931,2861;82,3213;0,9259;97,1750;0,3408;97,1750
2024,0789;82,1750;0,9253;26,6250;2,6437;26,6250
2116,0448;82,6150;0,9162;63,2950;1,3876;63,2950
2208,1345;83,1925;0,9050;97,8650;0,3679;97,8650
2300,7906;83,6338;0,8978;97,4250;0,3584;97,4250
2394,2781;83,8713;0,8894;98,5450;0,3350;98,5450
2486,3089;84,1513;0,8867;98,9550;0,3440;98,9550
2578,1604;84,4387;0,8785;97,1150;0,4087;97,1150
2669,9010;84,7750;0,8694;99,0050;0,3288;99,0050
2760,6257;84,8312;0,8685;98,9250;0,3069;98,9250
2852,3397;85,1963;0,8605;98,6850;0,3285;98,6850
2943,7756;85,4025;0,8538;98,7200;0,3237;98,7200
3036,5519;85,8912;0,8453;99,3550;0,2883;99,3550
3127,7804;86,1088;0,8393;99,7850;0,3150;99,7850
3218,7768;86,4125;0,8333;92,7850;0,4995;92,7850
3311,4898;86,6725;0,8268;99,8000;0,3057;99,8000
3402,6135;86,8637;0,8206;97,0200;0,3989;97,0200
3494,2553;86,8875;0,8204;99,7050;0,2902;99,7050
3587,8576;87,4975;0,8091;99,7950;0,2994;99,7950
3681,2876;87,4825;0,8079;90,9700;0,6131;90,9700
3773,0138;87,9650;0,7972;99,8450;0,2991;99,8450
3880,8326;88,0100;0,7960;99,8000;0,3007;99,8000
3986,9974;88,1950;0,7935;99,9100;0,3087;99,9400
4094,2384;88,2537;0,7920;99,9150;0,2953;97,7200
4199,8935;88,4925;0,7862;99,9200;0,3032;99,8650
4305,3129;88,2013;0,7922;99,8800;0,3019;98,2300
4411,4767;88,0675;0,7925;99,9250;0,2951;95,4550
4519,7795;88,4275;0,7886;99,9200;0,3049;91,0350
4626,5003;88,1500;0,7925;91,7700;0,5662;83,1100
4732,3012;88,1775;0,7916;99,9250;0,2973;94,6300
