time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa
167,9416;10,5375;2,3126;9,8850;2,3056;9,8850
354,6713;11,5650;2,3587;10,1150;2,4008;10,1150
542,2539;16,6500;2,2810;28,0900;1,8421;28,0900
727,2175;25,0738;2,0505;22,8200;2,0803;22,8200
913,3734;38,0012;1,8225;41,0200;1,7872;41,0200
1095,7785;49,1362;1,6213;77,2550;0,8241;77,2550
1279,8319;57,6437;1,4490;79,6650;0,7448;79,6650
1465,8588;63,9562;1,3188;68,2750;0,9949;68,2750
1650,9063;68,5175;1,2230;66,9050;1,2341;66,9050
1838,8786;71,7975;1,1521;88,8750;0,5004;88,8750
2021,5640;74,2387;1,1021;93,7900;0,4017;93,7900
2204,3223;75,8363;1,0693;93,7800;0,3839;93,7800
2390,6413;77,1975;1,0368;96,5000;0,3731;96,5000
2575,9280;78,0250;1,0210;94,2300;0,4210;94,2300
2758,6516;78,7650;1,0029;95,7050;0,4187;95,7050
2942,7168;79,7925;0,9814;95,5350;0,3790;95,5350
3128,7450;79,9375;0,9752;97,0950;0,3811;97,0950
3309,9493;80,5138;0,9635;97,1550;0,3286;97,1550
3494,9992;81,1063;0,9517;97,7850;0,3741;97,7850
3681,8897;81,6200;0,9388;97,0500;0,3697;97,0500
3869,0507;81,6100;0,9395;97,1900;0,4270;97,1900
4058,2208;82,2313;0,9244;98,8100;0,3010;98,8100
4241,1193;82,4750;0,9196;98,2300;0,3133;98,2300
4426,1898;83,1713;0,9046;98,9150;0,3061;98,9150
4613,4649;83,3300;0,9030;97,9700;0,3573;97,9700
4801,1557;83,4712;0,8975;98,8950;0,3013;98,8950
4988,2776;84,0212;0,8849;97,8600;0,3295;97,8600
5174,2128;84,3413;0,8771;99,1400;0,3065;99,1400
5359,1068;84,6262;0,8731;99,4600;0,2929;99,4600
5541,6708;84,7837;0,8665;99,1650;0,3121;99,1650
5726,2891;85,0300;0,8635;99,0350;0,2931;99,0350
5912,1594;85,4725;0,8529;99,7350;0,2919;99,7350
6094,6943;85,7288;0,8482;99,3050;0,3125;99,3050
6278,4979;85,8438;0,8442;99,4900;0,3109;99,4900
6463,4174;86,2275;0,8353;99,4800;0,3138;99,4800
6649,8783;86,7325;0,8271;99,6300;0,2972;99,6300
6835,8847;87,1750;0,8175;99,7400;0,3038;99,7400
7020,8462;87,0413;0,8178;99,8400;0,2921;99,8400
7208,3154;87,4137;0,8107;99,8650;0,2877;99,8650
7395,7153;87,6912;0,8039;99,8250;0,2902;99,8250
7581,8089;87,8750;0,8005;99,8900;0,2924;99,8900
7783,6634;88,0775;0,7949;99,8700;0,2955;99,8700
7983,3811;87,9975;0,7954;99,9050;0,3053;99,8900
8182,5515;87,9950;0,7968;99,8800;0,2954;99,8900
8383,0274;88,1213;0,7919;99,9100;0,3014;99,6000
8583,4086;88,1663;0,7912;99,9650;0,3036;99,8550
8784,4029;88,2775;0,7915;99,9600;0,2997;99,7400
8986,9072;88,2750;0,7907;99,9450;0,3086;99,8500
9185,1375;88,3700;0,7887;99,8800;0,2998;99,7100
9385,7181;88,4188;0,7876;99,8850;0,2938;99,7550
