;config_314_avg
Standard_Acc;88,3362
RMSCE;0,0600
gaussian_noise;74,7742
shot_noise;78,1036
impulse_noise;79,6600
defocus_blur;83,4564
glass_blur;79,7089
motion_blur;87,0422
zoom_blur;77,4841
snow;82,8796
frost;85,6598
fog;89,0503
brightness;82,9895
contrast;68,0054
elastic_transform;87,0941
pixelate;88,7024
jpeg_compression;88,3392
speckle_noise;75,6042
gaussian_blur;81,9275
spatter;89,6210
saturate;80,6335
blue_noise_sample;86,4471
brownish_noise;86,5265
caustic_refraction;82,6538
checkerboard_cutout;85,8032
cocentric_sine_waves;80,8838
inverse_sparkles;79,2938
perlin_noise;89,0594
plasma_noise;79,9988
single_frequency_greyscale;72,0154
sparkles;90,2405
Acc_C-all-19;82,1440
Acc_C-original-15;82,1967
Acc_C-bar-10;83,2922
Acc_all-ex-pixelwise-noise-24;83,2946
RMSCE_C;0,0740
uniform-l1,16.81,False,max;88,3606
uniform-l2,0.18685,False,max;88,3209
uniform-linf,0.007843,False,max;88,3026
uniform-l0.5,700000.0,True,max;88,2812
uniform-l1,125.0,True,max;88,3453
uniform-l2,2.0,True,max;88,2935
uniform-l10,0.06,True,max;88,3331
uniform-l50,0.04,True,max;88,0859
uniform-linf,0.01,True,max;88,3728
uniform-l0-impulse,0.01,True,max;87,0422
uniform-l0-impulse,0.02,True,max;85,5560
uniform-l0-impulse,0.05,True,max;80,9631
uniform-l0-impulse,0.1,True,max;73,5474
uniform-l0-impulse,0.2,True,max;63,8092
uniform-l0-impulse,0.5,True,max;50,3204
uniform-l0.5,500000.0,False,max;88,3636
uniform-l0.5,1000000.0,False,max;88,1592
uniform-l0.5,2000000.0,False,max;87,6740
uniform-l0.5,5000000.0,False,max;82,1808
uniform-l0.5,10000000.0,False,max;70,9076
uniform-l0.5,20000000.0,False,max;62,0728
uniform-l1,100.0,False,max;88,3698
uniform-l1,200.0,False,max;88,0920
uniform-l1,500.0,False,max;85,7819
uniform-l1,1000.0,False,max;75,6256
uniform-l1,2000.0,False,max;63,4888
uniform-l1,5000.0,False,max;50,5219
uniform-l2,1.0,False,max;88,3514
uniform-l2,2.0,False,max;88,2080
uniform-l2,5.0,False,max;86,9965
uniform-l2,10.0,False,max;79,9866
uniform-l2,20.0,False,max;65,4907
uniform-l2,50.0,False,max;50,6531
uniform-l10,0.05,False,max;88,3575
uniform-l10,0.1,False,max;88,0066
uniform-l10,0.2,False,max;85,7605
uniform-l10,0.5,False,max;69,8486
uniform-l10,1.0,False,max;57,3334
uniform-l10,2.0,False,max;50,0275
uniform-l50,0.02,False,max;88,3514
uniform-l50,0.05,False,max;88,0646
uniform-l50,0.1,False,max;86,4014
uniform-l50,0.2,False,max;76,8311
uniform-l50,0.5,False,max;58,8257
uniform-l50,1.0,False,max;50,0397
uniform-linf,0.01,False,max;88,3545
uniform-linf,0.02,False,max;88,3301
uniform-linf,0.05,False,max;87,8296
uniform-linf,0.1,False,max;85,5652
uniform-linf,0.2,False,max;74,2310
uniform-linf,0.5,False,max;56,3690
Class Separation Robustness;88,3280
imperceptible Robustness;88,2853
Average p-norm robustness;76,2069
