;config_310_avg
Standard_Acc;85,2112
RMSCE;0,0290
gaussian_noise;77,6000
shot_noise;81,3000
impulse_noise;79,9000
defocus_blur;78,8000
glass_blur;72,9000
motion_blur;81,0000
zoom_blur;78,3000
snow;79,1000
frost;81,5000
fog;82,7000
brightness;81,8000
contrast;73,0000
elastic_transform;83,6000
pixelate;84,7000
jpeg_compression;85,0000
speckle_noise;76,9000
gaussian_blur;75,8000
spatter;86,6000
saturate;78,2000
blue_noise_sample;80,5000
brownish_noise;81,5000
caustic_refraction;75,6000
checkerboard_cutout;73,0000
cocentric_sine_waves;75,3000
inverse_sparkles;74,3000
perlin_noise;85,2000
plasma_noise;75,4000
single_frequency_greyscale;68,3000
sparkles;84,7000
Acc_C-all-19;79,9316
Acc_C-original-15;80,0800
Acc_C-bar-10;77,3800
Acc_all-ex-pixelwise-noise-24;79,0125
RMSCE_C;0,0457
uniform-l1,130.9,False,max;85,4004
uniform-l2,2.611,False,max;85,4980
uniform-linf,0.1303,False,max;83,5022
uniform-l0.5,700000.0,True,max;85,3485
uniform-l1,125.0,True,max;85,3668
uniform-l2,2.0,True,max;85,4889
uniform-l10,0.06,True,max;85,4248
uniform-l50,0.04,True,max;85,5194
uniform-linf,0.01,True,max;85,3363
uniform-l0-impulse,0.01,True,max;84,4360
uniform-l0-impulse,0.02,True,max;84,0302
uniform-l0-impulse,0.05,True,max;81,8939
uniform-l0-impulse,0.1,True,max;75,4822
uniform-l0-impulse,0.2,True,max;60,4156
uniform-l0-impulse,0.5,True,max;50,0885
uniform-l0.5,500000.0,False,max;85,2844
uniform-l0.5,1000000.0,False,max;85,3912
uniform-l0.5,2000000.0,False,max;85,4614
uniform-l0.5,5000000.0,False,max;83,4015
uniform-l0.5,10000000.0,False,max;75,9308
uniform-l0.5,20000000.0,False,max;61,1053
uniform-l1,100.0,False,max;85,3546
uniform-l1,200.0,False,max;85,5164
uniform-l1,500.0,False,max;84,6893
uniform-l1,1000.0,False,max;79,6082
uniform-l1,2000.0,False,max;65,8081
uniform-l1,5000.0,False,max;50,0549
uniform-l2,1.0,False,max;85,2966
uniform-l2,2.0,False,max;85,4401
uniform-l2,5.0,False,max;85,0891
uniform-l2,10.0,False,max;81,9611
uniform-l2,20.0,False,max;70,3369
uniform-l2,50.0,False,max;49,9603
uniform-l10,0.05,False,max;85,4218
uniform-l10,0.1,False,max;85,5530
uniform-l10,0.2,False,max;84,7412
uniform-l10,0.5,False,max;75,6531
uniform-l10,1.0,False,max;54,7211
uniform-l10,2.0,False,max;49,9786
uniform-l50,0.02,False,max;85,3271
uniform-l50,0.05,False,max;85,4889
uniform-l50,0.1,False,max;85,0616
uniform-l50,0.2,False,max;80,1910
uniform-l50,0.5,False,max;56,7535
uniform-l50,1.0,False,max;49,9634
uniform-linf,0.01,False,max;85,1746
uniform-linf,0.02,False,max;85,3668
uniform-linf,0.05,False,max;85,5957
uniform-linf,0.1,False,max;84,5245
uniform-linf,0.2,False,max;78,7506
uniform-linf,0.5,False,max;53,6041
Class Separation Robustness;84,8002
imperceptible Robustness;85,4141
Average p-norm robustness;75,5692
