;config_165_avg
Standard_Acc;99,8179
RMSCE;0,0671
gaussian_noise;94,0420
shot_noise;98,5480
impulse_noise;99,3213
defocus_blur;99,5502
glass_blur;95,8570
motion_blur;99,1241
zoom_blur;99,5502
snow;93,3712
frost;95,6203
fog;94,9653
brightness;99,4318
contrast;99,5739
elastic_transform;98,5874
pixelate;99,3687
jpeg_compression;97,2143
speckle_noise;99,2503
gaussian_blur;99,4476
spatter;98,0745
saturate;98,7532
blue_noise;96,5278
brownish_noise;81,3842
checkerboard_cutout;86,5530
circular_motion_blur;99,7711
inverse_sparkles;80,3030
lines;84,2645
pinch_and_twirl;98,4138
ripple;98,8715
sparkles;86,1032
transverse_chromatic_abberation;97,5852
Acc_C-all-19;97,8764
Acc_C-original-15;97,6084
Acc_C-bar-10;90,9777
Acc_all-ex-pixelwise-noise-24;95,0725
RMSCE_C;0,0626
uniform-l1,130.9,False,max;97,4347
uniform-l2,2.611,False,max;97,6168
uniform-linf,0.1303,False,max;92,4386
uniform-l0.5,700000.0,True,max;88,3769
uniform-l1,125.0,True,max;97,6168
uniform-l2,2.0,True,max;98,7886
uniform-l10,0.06,True,max;99,5804
uniform-l50,0.04,True,max;99,4695
uniform-linf,0.01,True,max;99,7466
uniform-l0-impulse,0.01,True,max;99,6754
uniform-l0-impulse,0.02,True,max;99,6437
uniform-l0-impulse,0.05,True,max;99,1291
uniform-l0-impulse,0.1,True,max;97,0625
uniform-l0-impulse,0.2,True,max;86,0966
uniform-l0-impulse,0.5,True,max;39,0499
uniform-l0.5,50000.0,False,max;99,7546
uniform-l0.5,100000.0,False,max;99,5645
uniform-l0.5,200000.0,False,max;98,6698
uniform-l0.5,500000.0,False,max;93,2542
uniform-l0.5,1000000.0,False,max;79,4933
uniform-l0.5,2000000.0,False,max;52,5812
uniform-l1,20.0,False,max;99,7704
uniform-l1,50.0,False,max;99,5804
uniform-l1,100.0,False,max;98,3294
uniform-l1,200.0,False,max;93,7767
uniform-l1,500.0,False,max;72,9295
uniform-l1,1000.0,False,max;40,3167
uniform-l2,0.5,False,max;99,8021
uniform-l2,1.0,False,max;99,6991
uniform-l2,2.0,False,max;98,8124
uniform-l2,5.0,False,max;91,7577
uniform-l2,10.0,False,max;74,0618
uniform-l2,20.0,False,max;41,1797
uniform-l10,0.02,False,max;99,8179
uniform-l10,0.05,False,max;99,6516
uniform-l10,0.1,False,max;98,9153
uniform-l10,0.2,False,max;94,8377
uniform-l10,0.5,False,max;73,9667
uniform-l10,1.0,False,max;40,7997
uniform-l50,0.01,False,max;99,7625
uniform-l50,0.02,False,max;99,7783
uniform-l50,0.05,False,max;99,1607
uniform-l50,0.1,False,max;96,5321
uniform-l50,0.2,False,max;85,8907
uniform-l50,0.5,False,max;49,3745
uniform-linf,0.01,False,max;99,7862
uniform-linf,0.02,False,max;99,7466
uniform-linf,0.05,False,max;99,0340
uniform-linf,0.1,False,max;95,6295
uniform-linf,0.2,False,max;83,7688
uniform-linf,0.5,False,max;45,4078
Class Separation Robustness;95,8300
imperceptible Robustness;97,2631
Average p-norm robustness;86,0917
