;config_177_avg
Standard_Acc;99,0824
RMSCE;0,0628
gaussian_noise;86,6000
shot_noise;96,0000
impulse_noise;87,4000
defocus_blur;99,7000
glass_blur;95,2000
motion_blur;98,6000
zoom_blur;99,0000
snow;93,8000
frost;94,5000
fog;95,5000
brightness;98,9000
contrast;99,3000
elastic_transform;97,8000
pixelate;99,1000
jpeg_compression;95,3000
speckle_noise;98,0000
gaussian_blur;98,8000
spatter;97,0000
saturate;97,5000
blue_noise;93,1000
brownish_noise;82,7000
checkerboard_cutout;83,6000
circular_motion_blur;98,5000
inverse_sparkles;80,4000
lines;81,5000
pinch_and_twirl;97,3000
ripple;97,6000
sparkles;87,0000
transverse_chromatic_abberation;96,4000
Acc_C-all-19;96,2105
Acc_C-original-15;95,7800
Acc_C-bar-10;89,8100
Acc_all-ex-pixelwise-noise-24;94,3750
RMSCE_C;0,0592
uniform-l1,130.9,False,max;91,2360
uniform-l2,2.611,False,max;94,1948
uniform-linf,0.1303,False,max;84,4569
uniform-l0.5,700000.0,True,max;64,6816
uniform-l1,125.0,True,max;92,3970
uniform-l2,2.0,True,max;96,7978
uniform-l10,0.06,True,max;98,5768
uniform-l50,0.04,True,max;98,4082
uniform-linf,0.01,True,max;98,9513
uniform-l0-impulse,0.01,True,max;98,2772
uniform-l0-impulse,0.02,True,max;95,5243
uniform-l0-impulse,0.05,True,max;81,5356
uniform-l0-impulse,0.1,True,max;62,6779
uniform-l0-impulse,0.2,True,max;45,9925
uniform-l0-impulse,0.5,True,max;17,6030
uniform-l0.5,50000.0,False,max;98,7828
uniform-l0.5,100000.0,False,max;98,0337
uniform-l0.5,200000.0,False,max;93,8577
uniform-l0.5,500000.0,False,max;75,6180
uniform-l0.5,1000000.0,False,max;55,2622
uniform-l0.5,2000000.0,False,max;32,9588
uniform-l1,20.0,False,max;98,9513
uniform-l1,50.0,False,max;98,3708
uniform-l1,100.0,False,max;94,7191
uniform-l1,200.0,False,max;81,1798
uniform-l1,500.0,False,max;53,9888
uniform-l1,1000.0,False,max;27,6217
uniform-l2,0.5,False,max;98,9700
uniform-l2,1.0,False,max;98,6704
uniform-l2,2.0,False,max;96,7041
uniform-l2,5.0,False,max;80,2434
uniform-l2,10.0,False,max;58,8951
uniform-l2,20.0,False,max;29,0449
uniform-l10,0.02,False,max;99,0262
uniform-l10,0.05,False,max;98,7640
uniform-l10,0.1,False,max;97,1536
uniform-l10,0.2,False,max;88,7453
uniform-l10,0.5,False,max;62,8277
uniform-l10,1.0,False,max;33,8951
uniform-l50,0.01,False,max;99,0449
uniform-l50,0.02,False,max;98,8764
uniform-l50,0.05,False,max;97,9963
uniform-l50,0.1,False,max;90,8614
uniform-l50,0.2,False,max;74,0824
uniform-l50,0.5,False,max;40,8240
uniform-linf,0.01,False,max;99,0637
uniform-linf,0.02,False,max;98,9700
uniform-linf,0.05,False,max;97,6779
uniform-linf,0.1,False,max;89,1011
uniform-linf,0.2,False,max;71,9850
uniform-linf,0.5,False,max;36,5169
Class Separation Robustness;89,9625
imperceptible Robustness;91,6355
Average p-norm robustness;77,3546
