;config_160_avg
Standard_Acc;99,9625
RMSCE;0,0548
gaussian_noise;89,7000
shot_noise;97,8000
impulse_noise;91,7000
defocus_blur;99,9000
glass_blur;96,7000
motion_blur;99,7000
zoom_blur;99,9000
snow;95,4000
frost;96,0000
fog;96,6000
brightness;99,5000
contrast;100,0000
elastic_transform;99,4000
pixelate;100,0000
jpeg_compression;96,7000
speckle_noise;99,3000
gaussian_blur;100,0000
spatter;97,9000
saturate;99,2000
blue_noise;95,7000
brownish_noise;84,6000
checkerboard_cutout;86,4000
circular_motion_blur;100,0000
inverse_sparkles;79,3000
lines;83,9000
pinch_and_twirl;99,4000
ripple;99,5000
sparkles;88,2000
transverse_chromatic_abberation;98,8000
Acc_C-all-19;97,6526
Acc_C-original-15;97,2667
Acc_C-bar-10;91,5800
Acc_all-ex-pixelwise-noise-24;95,7083
RMSCE_C;0,0559
uniform-l1,130.9,False,max;93,6891
uniform-l2,2.611,False,max;95,8240
uniform-linf,0.1303,False,max;88,0899
uniform-l0.5,700000.0,True,max;68,4644
uniform-l1,125.0,True,max;94,6255
uniform-l2,2.0,True,max;98,3708
uniform-l10,0.06,True,max;99,5506
uniform-l50,0.04,True,max;99,6067
uniform-linf,0.01,True,max;99,9625
uniform-l0-impulse,0.01,True,max;99,3820
uniform-l0-impulse,0.02,True,max;97,6779
uniform-l0-impulse,0.05,True,max;86,8727
uniform-l0-impulse,0.1,True,max;67,5094
uniform-l0-impulse,0.2,True,max;47,7715
uniform-l0-impulse,0.5,True,max;17,7154
uniform-l0.5,50000.0,False,max;99,8502
uniform-l0.5,100000.0,False,max;99,6255
uniform-l0.5,200000.0,False,max;95,8427
uniform-l0.5,500000.0,False,max;79,9251
uniform-l0.5,1000000.0,False,max;55,6554
uniform-l0.5,2000000.0,False,max;35,2996
uniform-l1,20.0,False,max;99,9251
uniform-l1,50.0,False,max;99,5131
uniform-l1,100.0,False,max;96,6105
uniform-l1,200.0,False,max;85,5805
uniform-l1,500.0,False,max;56,4794
uniform-l1,1000.0,False,max;29,2135
uniform-l2,0.5,False,max;99,8315
uniform-l2,1.0,False,max;99,4757
uniform-l2,2.0,False,max;98,5393
uniform-l2,5.0,False,max;83,8764
uniform-l2,10.0,False,max;61,3109
uniform-l2,20.0,False,max;32,8090
uniform-l10,0.02,False,max;99,9438
uniform-l10,0.05,False,max;99,7378
uniform-l10,0.1,False,max;98,7266
uniform-l10,0.2,False,max;91,4607
uniform-l10,0.5,False,max;65,2622
uniform-l10,1.0,False,max;35,4120
uniform-l50,0.01,False,max;99,9438
uniform-l50,0.02,False,max;99,8315
uniform-l50,0.05,False,max;99,3258
uniform-l50,0.1,False,max;93,7828
uniform-l50,0.2,False,max;78,3708
uniform-l50,0.5,False,max;42,9963
uniform-linf,0.01,False,max;99,9625
uniform-linf,0.02,False,max;99,8876
uniform-linf,0.05,False,max;98,9513
uniform-linf,0.1,False,max;92,2659
uniform-linf,0.2,False,max;75,9176
uniform-linf,0.5,False,max;37,6217
Class Separation Robustness;92,5343
imperceptible Robustness;93,4301
Average p-norm robustness;79,4213
