;config_180_avg
Standard_Acc;99,8179
RMSCE;0,0657
gaussian_noise;93,6080
shot_noise;98,5006
impulse_noise;98,1613
defocus_blur;99,6291
glass_blur;96,3384
motion_blur;99,2030
zoom_blur;99,5502
snow;93,9789
frost;95,8412
fog;95,6203
brightness;99,4555
contrast;99,7554
elastic_transform;98,6742
pixelate;99,5660
jpeg_compression;96,9302
speckle_noise;99,2977
gaussian_blur;99,5344
spatter;98,1534
saturate;98,9583
blue_noise;96,8277
brownish_noise;82,2759
checkerboard_cutout;87,9893
circular_motion_blur;99,7633
inverse_sparkles;80,3030
lines;84,7932
pinch_and_twirl;98,3349
ripple;99,0925
sparkles;85,8033
transverse_chromatic_abberation;97,7983
Acc_C-all-19;97,9345
Acc_C-original-15;97,6541
Acc_C-bar-10;91,2981
Acc_all-ex-pixelwise-noise-24;95,3059
RMSCE_C;0,0623
Acc_from_adv_dist_calculation;0,0000
inf-norm-Mean_adv_dist_with_misclassifications_0;0,0175
inf-norm-Mean_adv_dist_without_misclassifications;0,0175
inf-norm-Mean_CLEVER-0.0-samples;0,3606
2-norm-Mean_adv_dist_with_misclassifications_0;0,3606
2-norm-Mean_adv_dist_without_misclassifications;0,0000
2-norm-Mean_CLEVER-0.0-samples;0,0000
Adversarial_accuracy_autoattack;0,7190
uniform-l1,130.9,False,max;96,8250
uniform-l2,2.611,False,max;97,7039
uniform-linf,0.1303,False,max;93,1196
uniform-l0.5,700000.0,True,max;84,2993
uniform-l1,125.0,True,max;97,1101
uniform-l2,2.0,True,max;98,6698
uniform-l10,0.06,True,max;99,5962
uniform-l50,0.04,True,max;99,4854
uniform-linf,0.01,True,max;99,7150
uniform-l0-impulse,0.01,True,max;99,6912
uniform-l0-impulse,0.02,True,max;99,4854
uniform-l0-impulse,0.05,True,max;98,1473
uniform-l0-impulse,0.1,True,max;91,2035
uniform-l0-impulse,0.2,True,max;70,8868
uniform-l0-impulse,0.5,True,max;29,2557
uniform-l0.5,50000.0,False,max;99,6991
uniform-l0.5,100000.0,False,max;99,5170
uniform-l0.5,200000.0,False,max;98,1235
uniform-l0.5,500000.0,False,max;91,1401
uniform-l0.5,1000000.0,False,max;73,9826
uniform-l0.5,2000000.0,False,max;47,7514
uniform-l1,20.0,False,max;99,7783
uniform-l1,50.0,False,max;99,4933
uniform-l1,100.0,False,max;98,2185
uniform-l1,200.0,False,max;92,9058
uniform-l1,500.0,False,max;69,8021
uniform-l1,1000.0,False,max;38,1394
uniform-l2,0.5,False,max;99,7387
uniform-l2,1.0,False,max;99,6595
uniform-l2,2.0,False,max;98,7173
uniform-l2,5.0,False,max;91,3064
uniform-l2,10.0,False,max;73,4838
uniform-l2,20.0,False,max;40,7918
uniform-l10,0.02,False,max;99,7625
uniform-l10,0.05,False,max;99,6754
uniform-l10,0.1,False,max;98,9311
uniform-l10,0.2,False,max;94,9644
uniform-l10,0.5,False,max;74,4735
uniform-l10,1.0,False,max;42,4466
uniform-l50,0.01,False,max;99,7625
uniform-l50,0.02,False,max;99,7466
uniform-l50,0.05,False,max;99,2478
uniform-l50,0.1,False,max;96,5558
uniform-l50,0.2,False,max;86,1203
uniform-l50,0.5,False,max;51,4727
uniform-linf,0.01,False,max;99,8100
uniform-linf,0.02,False,max;99,7546
uniform-linf,0.05,False,max;99,0816
uniform-linf,0.1,False,max;95,7878
uniform-linf,0.2,False,max;83,7609
uniform-linf,0.5,False,max;46,2470
Class Separation Robustness;95,8828
imperceptible Robustness;96,4793
Average p-norm robustness;84,9647
