;Train-Train;Train-Test;Test-Test
non-zero images;1440,000000;360,000000;360,000000
Mean Distance;19,900328;20,020765;21,842625
Minimal Distance;4,987778;4,970519;9,743600
2th;4,987778;6,456283;9,743626
3th;5,280742;6,882595;9,841344
4th;5,421897;7,228551;10,050070
5th;5,797107;7,279037;10,050070
6th;5,797107;7,514179;10,114530
7th;6,026472;7,812250;10,299139
8th;6,072399;7,818498;10,308806
9th;6,072399;7,870751;10,390848
10th;6,198932;7,972793;10,418349
11th;6,449398;8,039818;10,457971
12th;6,480062;8,056047;10,459885
13th;6,480062;8,151340;10,518167
14th;6,573503;8,162563;10,518167
15th;6,631188;8,261415;10,632006
16th;6,773325;8,285436;10,688322
17th;6,773325;8,378963;10,693049
18th;6,881389;8,476299;10,693049
19th;6,915647;8,540746;10,722803
20th;6,966262;8,568429;10,722803
21th;6,966262;8,643945;10,726491
22th;6,980546;8,843087;10,870060
23th;7,027638;8,843253;10,879175
24th;7,027638;8,869166;10,879175
25th;7,155909;8,869937;10,884761
26th;7,156932;8,908744;10,934508
27th;7,186413;8,919808;11,034525
28th;7,506703;8,932472;11,092782
29th;7,506703;8,936899;11,169941
30th;7,589955;8,941597;11,177282
31th;7,642143;8,961942;11,177282
32th;7,806592;8,981046;11,354140
33th;7,843937;8,995333;11,368430
34th;7,934362;9,006942;11,368774
35th;7,934362;9,034656;11,396143
36th;7,990717;9,053336;11,498684
37th;8,010247;9,067402;11,519981
38th;8,022703;9,108290;11,546653
39th;8,022795;9,128290;11,571491
40th;8,085481;9,142080;11,584945
41th;8,118026;9,148834;11,584945
42th;8,137521;9,178195;11,643928
43th;8,139740;9,179419;11,667429
44th;8,157567;9,205181;11,686247
45th;8,157567;9,235472;11,691343
46th;8,241769;9,246938;11,691343
47th;8,273758;9,259444;11,692763
48th;8,273758;9,304054;11,706702
49th;8,288823;9,318581;11,775654
50th;8,307799;9,354979;11,808035
51th;8,307799;9,358475;11,813286
52th;8,334558;9,364630;11,894679
53th;8,361755;9,417819;11,904917
54th;8,395700;9,439776;11,946414
55th;8,453861;9,486525;11,984365
56th;8,456893;9,505446;11,984365
57th;8,464396;9,518075;12,042974
58th;8,464396;9,529457;12,144536
59th;8,471863;9,566711;12,149902
60th;8,471863;9,634786;12,368093
61th;8,484073;9,641575;12,376578
62th;8,492242;9,660952;12,421590
63th;8,496840;9,665500;12,486164
64th;8,569569;9,686693;12,486164
65th;8,576859;9,751052;12,504921
66th;8,576859;9,826299;12,527353
67th;8,594488;9,830199;12,568018
68th;8,631112;9,845139;12,595727
