;Train-Train;Train-Test;Test-Test
150th;1596,866455;2269,675537;2729,556396
151th;1601,938721;2270,264648;2729,556396
152th;1602,187378;2280,525635;2737,787598
153th;1608,303467;2282,109619;2737,787598
154th;1615,139771;2291,309082;2748,536621
155th;1619,110962;2303,120605;2769,646973
156th;1622,370483;2313,911133;2800,874512
157th;1624,517090;2329,917969;2858,029297
158th;1624,517090;2336,064453;2860,470703
159th;1624,653442;2344,224609;2866,958496
160th;1624,785889;2354,247314;2868,693359
161th;1624,785889;2389,058105;2873,632324
162th;1624,817871;2425,780762;2881,450684
163th;1630,179321;2477,576416;2890,215332
164th;1632,885864;2487,089844;2891,341309
165th;1638,778320;2512,833008;2908,708496
166th;1642,347534;2517,018799;2931,641602
167th;1642,434814;2526,589355;2945,846191
168th;1649,378906;2606,818848;2967,323975
169th;1649,378906;2608,736572;2977,838867
170th;1657,053467;2633,711914;2977,838867
171th;1657,696655;2688,324219;2996,038086
172th;1660,939331;2718,952881;3002,954102
173th;1662,144775;2745,776367;3012,021973
174th;1664,259399;2782,288086;3029,184082
175th;1667,891602;2796,260742;3029,527832
176th;1671,458252;2796,937988;3041,556396
177th;1673,681885;2800,852051;3092,962402
178th;1675,284546;2803,101074;3092,962402
179th;1677,119141;2804,965820;3100,603516
180th;1677,119141;2815,132080;3100,603516
181th;1677,348877;2817,542480;3100,642090
182th;1681,884399;2821,644287;3115,956543
183th;1682,363037;2833,068359;3120,918945
184th;1687,341309;2876,986084;3121,872070
185th;1692,074585;2898,130371;3138,376953
186th;1692,115234;2904,897461;3138,553711
187th;1697,319458;2908,195557;3154,068604
188th;1698,294189;2919,658936;3154,404785
189th;1702,408936;2920,190430;3181,635010
190th;1702,408936;2931,140869;3199,527344
191th;1704,324951;2956,105469;3203,262939
192th;1705,049316;2973,871582;3203,265869
193th;1705,407227;2985,913086;3210,901123
194th;1707,342651;2994,739502;3214,678223
195th;1711,226562;2995,691895;3237,713867
196th;1711,481201;2996,579590;3237,713867
197th;1712,012939;3005,447510;3240,436035
198th;1713,834229;3015,568848;3245,147217
199th;1714,160156;3018,182129;3268,267578
200th;1716,884277;3021,821289;3268,347412
