;Train-Train;Train-Test;Test-Test
non-zero images;1440,000000;360,000000;360,000000
Mean Distance;0,310083;0,315812;0,332146
Minimal Distance;0,107049;0,104315;0,108132
2th;0,107049;0,106649;0,108132
3th;0,113122;0,116222;0,116785
4th;0,113122;0,117781;0,125312
5th;0,115062;0,118992;0,125312
6th;0,116441;0,119712;0,146225
7th;0,116441;0,121599;0,146225
8th;0,116821;0,129852;0,147501
9th;0,117406;0,134062;0,158573
10th;0,119818;0,140420;0,158573
11th;0,119884;0,142305;0,169390
12th;0,120526;0,143620;0,172158
13th;0,120526;0,143645;0,172158
14th;0,122719;0,146643;0,173616
15th;0,123521;0,147425;0,173616
16th;0,125589;0,149150;0,174042
17th;0,126575;0,149282;0,174115
18th;0,126580;0,150818;0,176408
19th;0,127931;0,151235;0,177836
20th;0,128499;0,152904;0,178650
21th;0,128524;0,153589;0,178650
22th;0,130300;0,153847;0,178773
23th;0,130564;0,154083;0,182578
24th;0,131114;0,154873;0,182988
25th;0,131114;0,154940;0,185724
26th;0,131214;0,155820;0,186501
27th;0,131214;0,156292;0,187578
28th;0,132288;0,157285;0,188055
29th;0,132525;0,158319;0,190789
30th;0,132525;0,158634;0,190996
31th;0,132596;0,158657;0,192608
32th;0,132920;0,158792;0,193803
33th;0,133243;0,159064;0,193803
34th;0,134475;0,159458;0,194366
35th;0,134475;0,160373;0,194366
36th;0,135572;0,160628;0,195042
37th;0,135690;0,161153;0,195227
38th;0,135833;0,161868;0,195774
39th;0,136040;0,162776;0,196070
40th;0,136332;0,163164;0,196187
41th;0,136572;0,163171;0,196838
42th;0,136886;0,163697;0,196957
43th;0,137895;0,163787;0,198139
44th;0,138125;0,164541;0,198204
45th;0,139629;0,164967;0,198204
46th;0,139629;0,165099;0,198588
47th;0,140049;0,166404;0,199352
48th;0,140627;0,166712;0,199999
49th;0,140989;0,167057;0,200535
50th;0,141671;0,167348;0,200947
51th;0,141671;0,167399;0,201577
52th;0,141858;0,168810;0,202810
53th;0,142395;0,169192;0,203279
54th;0,142515;0,169825;0,203352
55th;0,142683;0,170075;0,204460
56th;0,143264;0,170122;0,204532
57th;0,143264;0,170370;0,204801
58th;0,143941;0,171164;0,204930
59th;0,144611;0,171709;0,205152
60th;0,145246;0,172204;0,205218
61th;0,146523;0,172308;0,205704
62th;0,147952;0,172883;0,206639
63th;0,148231;0,173283;0,207455
64th;0,148385;0,173550;0,208065
65th;0,148395;0,174306;0,209684
66th;0,148685;0,174992;0,210205
67th;0,148815;0,175330;0,210319
68th;0,149100;0,175423;0,212417
69th;0,149260;0,175856;0,212428
70th;0,149651;0,175863;0,213451
71th;0,149818;0,175988;0,213613
72th;0,150451;0,177340;0,213794
73th;0,150586;0,177962;0,214080
74th;0,150601;0,178123;0,214725
75th;0,150671;0,178310;0,215056
76th;0,150736;0,178345;0,215133
77th;0,151277;0,179034;0,215721
78th;0,151277;0,181144;0,216064
79th;0,151522;0,181234;0,216064
80th;0,151522;0,182260;0,216226
81th;0,151963;0,182876;0,217483
82th;0,151984;0,184432;0,218804
83th;0,152345;0,184488;0,220252
84th;0,152669;0,184888;0,221385
85th;0,152669;0,185107;0,221385
86th;0,152733;0,186473;0,221805
87th;0,152760;0,186964;0,222052
88th;0,152760;0,187419;0,222681
89th;0,152892;0,187536;0,223411
90th;0,153113;0,187562;0,225415
91th;0,153147;0,188269;0,227520
92th;0,153450;0,188319;0,227520
93th;0,153492;0,189228;0,227528
94th;0,154428;0,190292;0,227624
95th;0,154585;0,191031;0,227737
96th;0,154585;0,191112;0,228713
97th;0,154816;0,191667;0,229576
