time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
2688,2072;0,1493;6,9205;0,1780;6,8716;0,2448
5846,4776;3,6197;6,1343;9,0920;5,0357;3,2517
10668,5483;13,0207;5,0942;18,7880;4,1823;5,9103
12976,8158;22,7705;4,4282;26,5920;3,6224;9,5448
14619,1914;29,5417;4,0304;36,0960;3,0343;12,3897
16158,1240;33,7233;3,8065;36,9000;3,0461;12,6310
17778,0701;37,7069;3,6059;36,9720;3,0240;11,8586
19766,9959;40,0535;3,4875;43,2480;2,6281;15,9000
21421,5280;41,7094;3,4070;42,1160;2,6965;15,6759
23182,8334;42,9616;3,3494;46,1200;2,5147;16,3724
24907,2699;43,8325;3,3055;43,8000;2,6394;15,5310
26387,9997;44,6356;3,2691;48,5460;2,3837;17,5138
28027,7229;45,2862;3,2409;48,4400;2,4068;18,3966
29534,2108;45,7769;3,2175;45,7680;2,5421;17,1828
31127,0440;46,2534;3,1951;49,3300;2,3531;17,9069
32807,3627;46,6026;3,1782;49,9580;2,2636;18,8138
34455,8197;46,9289;3,1641;50,0760;2,2624;19,0172
36117,1115;47,2455;3,1511;48,8020;2,3846;17,7897
37636,5238;47,4560;3,1405;52,0460;2,2034;20,2172
39076,0083;47,6783;3,1290;48,7260;2,3580;18,6000
40758,5576;47,8649;3,1218;49,9980;2,2994;17,5310
42221,4952;48,0407;3,1127;51,5740;2,2228;19,6069
43647,5122;48,1871;3,1064;51,4320;2,2753;18,7586
45048,0812;48,3876;3,0980;53,2360;2,0996;18,9000
46650,5991;48,5764;3,0899;52,0480;2,2092;18,8517
48231,9640;48,6383;3,0858;49,7640;2,3088;17,1414
49928,7868;48,7317;3,0801;52,5180;2,1221;20,0379
51202,3714;48,9332;3,0731;52,5720;2,1966;20,6586
52534,2040;48,9757;3,0694;52,2240;2,2324;18,0000
54110,7987;49,1134;3,0641;52,1100;2,2058;19,5655
55557,7804;49,2089;3,0602;50,5320;2,2945;18,8759
56638,3561;49,3058;3,0561;51,7380;2,2560;19,0931
57866,9672;49,4225;3,0512;53,4500;2,1351;21,7862
59268,5010;49,4405;3,0487;53,8480;2,1234;20,6069
60562,0079;49,5676;3,0456;49,2880;2,3869;18,1241
61782,0891;49,6417;3,0413;51,8480;2,2581;18,0931
63051,1800;49,6757;3,0364;50,9400;2,2819;19,9172
64304,7163;49,8164;3,0316;51,1580;2,2628;18,8172
65677,3040;49,8800;3,0304;53,1040;2,1450;21,5069
67035,0476;49,9747;3,0264;52,2420;2,1802;20,3310
68282,9492;50,0526;3,0225;54,2100;2,1007;21,1897
69530,0345;50,0532;3,0196;54,2480;2,0895;22,5103
70828,8518;50,2231;3,0133;53,0720;2,1732;18,4586
72227,8371;50,3178;3,0107;50,7020;2,2687;17,5759
73633,8204;50,3917;3,0069;53,7520;2,1135;20,3241
75051,3936;50,4010;3,0048;53,0820;2,1628;20,6897
76429,6799;50,5153;3,0020;51,4420;2,2495;17,4138
77753,1961;50,6191;2,9959;52,0640;2,2017;18,8172
79008,7881;50,6868;2,9933;53,0340;2,1576;20,1655
80244,8255;50,7226;2,9913;52,5760;2,1528;18,8793
81649,9591;50,7963;2,9890;52,9280;2,1822;20,3517
83117,2152;50,8908;2,9836;56,0120;1,9931;22,1103
84570,7913;51,0379;2,9799;53,3700;2,1590;20,0172
86005,2004;51,0891;2,9739;55,1640;2,0721;20,6966
87401,8348;51,1637;2,9740;55,2340;2,0427;20,1172
88639,1145;51,2912;2,9653;55,2760;2,0772;20,7379
90012,5169;51,3790;2,9624;54,2480;2,1283;21,4138
91216,7651;51,4130;2,9593;55,8320;2,0101;19,6138
92436,0438;51,6051;2,9542;55,3840;2,0602;21,1138
93777,0212;51,6523;2,9513;55,4280;2,0763;20,5448
95022,9757;51,7142;2,9463;55,8220;2,0586;22,0276
96264,1069;51,8252;2,9458;52,1860;2,2060;17,7103
97649,2708;51,8964;2,9404;56,9420;1,9468;22,0207
99058,3702;52,0121;2,9364;55,4000;2,0683;21,5000
100337,0941;52,1010;2,9316;56,3500;2,0095;22,0586
101595,2619;52,1695;2,9287;54,6540;2,0917;20,0414
102895,6152;52,2617;2,9210;56,4060;1,9891;21,7862
104134,4466;52,3283;2,9210;56,8380;2,0341;23,5069
105383,9865;52,5046;2,9138;57,8980;1,9486;22,2310
106603,5046;52,6326;2,9096;56,2400;2,0175;22,0069
107980,6060;52,6439;2,9071;56,4800;1,9842;22,1276
109241,3893;52,8048;2,9007;56,6560;2,0009;22,2207
111192,4680;52,8698;2,8958;58,1360;1,9221;24,5621
112853,2063;53,0128;2,8906;57,5620;1,9175;23,5759
114533,1663;53,1217;2,8870;56,4220;2,0121;22,5621
116148,3776;53,2219;2,8817;57,1580;1,9770;23,2793
117706,7939;53,3541;2,8779;56,2420;2,0292;21,5724
119231,9688;53,4930;2,8729;57,9540;1,9574;22,6793
120838,0485;53,5399;2,8675;58,2500;1,9467;23,1828
122408,2003;53,6670;2,8643;57,0620;1,9855;22,9828
123961,4104;53,7664;2,8582;58,0680;1,9607;22,0069
125421,1394;53,8278;2,8544;59,3280;1,9049;24,0931
126937,8611;54,0797;2,8474;58,6020;1,9135;22,6724
128563,6760;54,2091;2,8437;57,9340;1,9448;22,2724
130390,4448;54,2587;2,8379;57,7040;1,9656;22,2483
132168,6534;54,3645;2,8340;59,0400;1,9007;23,7000
133872,3565;54,5161;2,8280;60,2340;1,8089;25,3000
135057,0010;54,6596;2,8227;53,4200;2,1911;18,7000
136215,9340;54,7985;2,8165;60,2660;1,8415;25,6724
137371,8214;54,8760;2,8119;60,0600;1,8657;24,9379
138318,2614;54,9672;2,8068;59,3580;1,8779;23,6000
139283,0374;55,1987;2,7998;59,0120;1,8893;22,6966
140237,4847;55,2871;2,7958;60,1160;1,8548;24,2690
141203,4404;55,4176;2,7883;60,4620;1,8108;25,4483
142131,7636;55,6074;2,7825;58,1260;1,9568;22,6517
143085,6962;55,7327;2,7765;60,4760;1,8231;24,4034
144007,3879;55,8691;2,7702;59,6880;1,8641;24,6759
144976,0242;55,9456;2,7651;60,7020;1,8058;24,8690
147894,1329;56,0839;2,7597;61,6080;1,7939;26,7897
152377,1745;56,2547;2,7545;58,8680;1,8931;24,7000
158206,9961;56,3948;2,7486;61,6340;1,8069;25,3138
165224,9402;56,5612;2,7396;61,8160;1,7668;24,5310
173521,2868;56,7046;2,7345;58,8100;1,9237;23,5241
181020,5986;56,7969;2,7299;59,8740;1,8381;24,4966
186449,3168;57,0027;2,7231;61,1820;1,7940;25,6034
192030,5212;57,0969;2,7178;61,4640;1,7870;25,5966
193286,3114;57,3008;2,7089;61,8640;1,7970;24,9552
194558,3484;57,5275;2,7016;61,0240;1,8476;25,0414
195849,7028;57,6608;2,6960;62,1620;1,7892;24,9586
196999,8066;57,7702;2,6898;63,1220;1,6893;26,4414
198324,9629;57,9980;2,6824;63,1180;1,6948;27,5621
199574,5712;58,1431;2,6754;61,8060;1,7444;26,1517
201021,8461;58,2376;2,6696;62,4580;1,7505;26,5103
202489,9910;58,4048;2,6649;63,9740;1,6710;25,9724
203824,2604;58,5671;2,6558;63,7520;1,7220;25,9966
205071,9405;58,7797;2,6476;61,6620;1,7647;23,8276
206390,5391;58,8824;2,6426;63,1020;1,6919;25,2655
207665,9941;59,1518;2,6346;63,2240;1,7518;25,8621
208913,9795;59,2983;2,6274;64,3000;1,6273;27,2310
210118,6907;59,4170;2,6207;61,8700;1,7676;23,6448
211421,3879;59,6437;2,6139;64,3900;1,6560;27,1241
212755,4891;59,7956;2,6055;64,8600;1,6374;26,8759
213958,5863;59,9976;2,5975;64,5940;1,6544;28,3414
215342,5046;60,1935;2,5890;64,1240;1,6728;27,6483
216613,7064;60,3584;2,5814;65,1860;1,6288;28,8034
217758,2233;60,5425;2,5755;64,3340;1,6647;27,7310
218977,1936;60,6940;2,5694;65,5800;1,6120;28,4138
222048,5712;60,9787;2,5586;65,3740;1,6211;28,4103
226012,7354;61,1534;2,5517;65,5700;1,5552;28,4483
229323,2316;61,3194;2,5432;64,6560;1,6199;28,0000
232231,1161;61,5580;2,5339;66,0300;1,5773;28,3966
234559,5015;61,7620;2,5252;66,4140;1,5538;29,7276
237039,6644;61,9599;2,5191;66,8220;1,5596;28,9759
239689,1941;62,1657;2,5088;66,7560;1,6002;30,4552
241935,1088;62,3784;2,5010;67,0020;1,5418;29,0517
244756,1644;62,5806;2,4927;66,6020;1,5445;29,5379
247912,6358;62,8443;2,4841;67,0220;1,5342;29,9483
251000,5460;63,0249;2,4772;67,9040;1,5002;29,5655
253495,7993;63,2487;2,4652;67,9540;1,4950;30,8207
255638,8118;63,4914;2,4584;67,6160;1,5381;30,5034
257129,5157;63,7291;2,4488;66,1900;1,5894;28,3345
258487,2644;63,8953;2,4407;68,5460;1,4857;31,4379
260615,3926;64,1752;2,4314;69,3280;1,4612;30,8517
262728,2894;64,4392;2,4205;68,7980;1,4792;31,5897
266554,0976;64,6658;2,4115;69,0240;1,4672;32,4621
