time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
185581,2699;42,6870;3,4642;57,7720;2,0313;29,9069
187158,9828;42,7352;3,4583;58,1860;1,9742;30,9793
188558,1708;42,8650;3,4528;58,4980;1,9178;28,4103
190012,0005;43,0269;3,4441;57,8220;1,9577;29,5517
191723,6368;43,1635;3,4396;56,7300;2,0006;26,9000
193266,7444;43,3653;3,4286;58,1540;1,9902;29,9552
194721,5465;43,5819;3,4188;57,9220;2,0137;29,1448
196281,8340;43,6804;3,4137;59,1980;1,9270;30,2586
197747,5212;43,8517;3,4057;59,6540;1,8937;30,4586
199200,1115;44,0323;3,3974;60,4080;1,8353;30,2931
200820,5493;44,1394;3,3932;60,1580;1,9293;31,2724
202579,1843;44,2783;3,3852;59,9540;1,9037;29,7655
204413,8805;44,4777;3,3775;60,1380;1,8717;31,2241
206189,3954;44,6574;3,3691;59,2720;1,9142;28,9724
207948,2125;44,8031;3,3610;60,5680;1,8570;30,5483
210017,9558;45,0687;3,3508;60,2360;1,8401;31,5517
211946,3075;45,2751;3,3422;61,6760;1,8331;31,7241
213874,8811;45,3442;3,3373;61,6460;1,8089;32,1103
215729,1316;45,5165;3,3298;61,2640;1,8187;31,9414
217488,9353;45,6597;3,3218;61,2100;1,8383;29,7655
219304,5153;45,8373;3,3111;58,7220;1,9675;27,4793
221233,5369;45,9564;3,3067;62,1360;1,7928;31,7034
223077,0623;46,2709;3,2931;62,1080;1,7964;32,3655
224897,7795;46,3750;3,2872;62,4000;1,7721;31,0103
226603,4052;46,6181;3,2781;62,2120;1,8175;32,9690
229411,9006;46,7484;3,2704;61,9880;1,8010;33,0759
234372,8385;46,9600;3,2608;63,3060;1,7708;32,9690
238165,8207;47,1853;3,2519;62,9780;1,7312;33,0103
241716,8896;47,4074;3,2426;61,8920;1,8263;33,0379
244941,9309;47,6477;3,2306;61,6040;1,8107;30,5828
248556,2722;47,7869;3,2224;63,0660;1,8044;31,7966
251841,6559;48,0112;3,2152;63,7400;1,7463;34,3276
256061,8008;48,1507;3,2064;63,7200;1,7298;34,8793
259686,3502;48,4262;3,1963;63,4680;1,7266;32,6414
262451,3012;48,6127;3,1871;65,4100;1,6368;34,6379
265308,9122;48,7946;3,1784;65,1840;1,6392;35,3138
267810,6897;48,9806;3,1714;63,8640;1,7273;34,0000
271271,7072;49,2853;3,1562;64,7300;1,6661;34,3103
275998,1058;49,4683;3,1497;65,6100;1,6363;35,8241
277705,8697;49,7357;3,1362;65,1220;1,6630;34,4103
279442,2397;49,9105;3,1273;64,8300;1,6863;35,3276
281183,5818;50,1628;3,1177;65,8580;1,6390;37,3621
282878,5157;50,4064;3,1056;64,9600;1,6883;34,1138
286771,9550;50,6538;3,0961;64,3620;1,7159;33,1793
288638,8091;50,8537;3,0882;66,1720;1,6282;36,5759
290357,1524;51,0456;3,0770;66,9280;1,6166;37,0966
292285,4233;51,3229;3,0676;66,8080;1,6270;36,5241
294028,0581;51,6581;3,0536;67,2320;1,5566;36,6172
298369,4588;51,9305;3,0410;67,1140;1,5720;36,4345
300188,2954;52,1468;3,0303;67,6640;1,5466;36,8552
302151,0501;52,3646;3,0215;68,5940;1,5515;37,4897
303840,1472;52,5654;3,0119;67,6840;1,5467;36,8103
305497,2585;52,9125;2,9977;68,8500;1,5486;38,3759
307491,8704;53,1286;2,9865;67,5740;1,6043;36,4276
309172,2170;53,3618;2,9768;68,7040;1,5125;38,5310
311911,8703;53,7687;2,9625;68,7480;1,5156;37,8517
314140,7240;52,9100;3,0018;67,8640;1,5461;37,7621
316116,7632;51,9853;3,0471;66,5220;1,6268;35,4172
318429,0730;51,0254;3,0933;66,4400;1,6381;34,7828
320240,9653;50,1287;3,1343;64,6480;1,7292;35,1793
322685,3422;49,2805;3,1751;63,9020;1,7164;32,6759
324582,3309;49,3250;3,1712;64,5380;1,6970;35,4241
326379,7836;49,3897;3,1675;64,5960;1,6923;34,1828
328762,7479;49,4111;3,1654;65,4220;1,6926;34,8793
331899,8716;53,1321;2,9864;68,2740;1,5563;37,5586
333885,8568;53,3958;2,9774;68,7960;1,5260;37,9000
336701,1204;53,7529;2,9620;69,1900;1,4959;37,5690
338816,9388;53,9695;2,9515;69,4480;1,4857;39,8172
342083,6790;54,3127;2,9388;69,2040;1,4823;38,5793
346112,7734;54,5576;2,9271;69,6380;1,4898;39,0517
349698,5286;54,8800;2,9140;69,8540;1,4880;40,4621
353239,7051;55,1115;2,9040;69,9580;1,4494;39,5931
356677,7704;55,5237;2,8874;70,7840;1,4627;40,7138
360134,9045;55,7944;2,8768;70,6940;1,4660;40,6448
363575,9748;56,0875;2,8660;71,0560;1,4479;41,1931
367193,9327;56,4769;2,8491;71,2200;1,4163;40,9966
370688,9616;56,6909;2,8372;70,7960;1,4486;39,8897
374105,8816;56,9719;2,8263;71,3660;1,3975;42,6034
377506,3694;57,2936;2,8135;71,6780;1,3988;41,9966
380943,9426;57,6738;2,7983;72,1160;1,4152;42,0862
384302,3265;57,9523;2,7873;72,4860;1,3831;41,6379
387529,4680;58,3837;2,7700;72,5260;1,3765;42,3138
391038,2595;58,6205;2,7585;72,6520;1,3698;42,2897
394527,7066;58,9124;2,7467;73,0200;1,3452;44,0172
397860,2548;59,2473;2,7306;73,0300;1,3579;42,4828
401280,6669;59,6379;2,7174;73,4040;1,3405;43,8000
404700,7512;59,8984;2,7065;73,6020;1,3431;43,9931
408159,3148;60,2351;2,6925;73,5660;1,3184;44,1448
411667,7425;60,5594;2,6778;74,0720;1,3347;44,5828
415049,3731;60,8178;2,6658;73,9960;1,3057;43,7345
418441,4797;61,1417;2,6539;74,0740;1,3163;44,4586
421717,4503;61,4882;2,6404;74,3720;1,3176;44,8552
425221,1959;61,7450;2,6306;74,5240;1,3221;44,9069
428815,7760;62,0467;2,6178;74,6980;1,2972;45,2586
432370,6333;62,2873;2,6073;74,9660;1,3024;45,1862
435902,3216;62,5628;2,5957;75,1320;1,2869;45,7828
439420,6490;62,7401;2,5878;75,2640;1,2858;45,9517
442926,1900;63,0060;2,5761;75,3220;1,2880;46,2690
446405,0782;63,2313;2,5688;75,4900;1,2685;46,6000
449844,8660;63,3564;2,5614;75,5840;1,2752;46,3966
453421,6101;63,6642;2,5515;75,5800;1,2732;46,5414
456933,9203;63,7777;2,5455;75,6480;1,2682;46,7241
460420,2080;63,9180;2,5396;75,7600;1,2790;46,7345
463925,1787;64,0257;2,5333;75,7900;1,2743;46,8552
467480,4318;64,1345;2,5306;75,8460;1,2762;47,2207
470965,0247;64,1980;2,5263;75,9080;1,2622;46,9966
474471,7958;64,3132;2,5225;75,9200;1,2655;46,9897
477999,0837;64,3086;2,5210;75,8560;1,2736;47,0069
481550,9681;64,3811;2,5186;75,9380;1,2690;47,1000
485264,6737;64,3755;2,5187;75,9560;1,2618;47,0897
