time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
3232,5813;48,8955;4,4074;72,1620;1,6828;42,8655
6139,1287;52,1930;4,1923;72,4380;1,7158;43,5310
8993,9506;53,2203;4,1387;72,7360;1,6871;44,1241
11795,1006;53,5925;4,1048;73,3400;1,7061;44,8552
14656,2720;53,7614;4,0951;72,9460;1,7787;43,8379
17501,8179;54,4773;4,0674;73,2260;1,7484;44,0138
20388,0998;54,7049;4,0613;74,1580;1,5898;45,0310
23144,4719;54,6925;4,0567;73,9200;1,7242;45,1552
26023,6915;54,5081;4,0492;73,9140;1,6292;45,4655
28973,1043;55,1134;4,0136;73,9860;1,6661;44,8517
31960,6663;54,9892;4,0251;73,7300;1,7037;44,8828
34165,5736;55,2176;4,0104;73,8760;1,7070;45,1103
35786,6787;55,1152;4,0103;73,8520;1,6920;45,2103
37456,3485;55,4138;3,9907;74,1080;1,6787;45,0828
39125,7076;55,5739;3,9900;74,3160;1,6728;45,7621
40732,7151;55,5037;3,9883;74,1040;1,6803;45,3897
42268,3612;55,6409;3,9854;73,8480;1,7672;45,0138
43892,8344;55,6209;3,9905;74,3000;1,6423;45,5103
45461,6058;55,5769;3,9901;74,0140;1,6980;45,0897
47039,0207;56,0469;3,9583;74,2740;1,7168;45,1207
48623,0397;55,8171;3,9601;74,4080;1,6850;45,8310
50294,2323;55,9088;3,9712;73,8620;1,7651;44,7966
51996,0351;55,7338;3,9558;74,3940;1,6181;45,8759
53673,5374;55,5294;3,9893;74,4520;1,6596;45,8655
55331,2581;56,1232;3,9390;74,3340;1,7139;46,0207
56992,0387;56,0284;3,9555;74,1000;1,7278;45,3138
58661,2762;56,0575;3,9538;74,1260;1,6775;45,1931
60328,3373;55,9127;3,9578;74,2060;1,7258;45,5172
61923,9650;55,4905;3,9834;74,1840;1,6642;45,5207
63604,5839;55,9122;3,9798;74,6400;1,5974;46,0862
