time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
6088,7624;48,9031;4,4068;72,1260;1,6917;42,8241
10684,1166;52,1921;4,1922;72,4420;1,7121;43,5483
14940,3031;53,2196;4,1387;72,7340;1,6861;44,0724
19291,3378;53,5807;4,1048;73,3620;1,7028;44,8517
23518,7487;53,7565;4,0951;72,9720;1,7757;43,8172
27831,2867;54,4762;4,0674;73,2320;1,7463;44,0414
32159,0338;54,7152;4,0614;74,1580;1,5844;45,0448
36380,1640;54,7089;4,0567;73,9160;1,7253;45,0586
40606,7599;54,5137;4,0492;73,9040;1,6277;45,4379
44765,0867;55,1121;4,0136;73,9760;1,6648;44,7931
49079,5620;54,9904;4,0251;73,7240;1,7004;44,8069
53381,3805;55,2172;4,0105;73,8720;1,7054;45,2483
57527,9045;55,1208;4,0103;73,7820;1,6901;45,2414
61757,1424;55,4110;3,9907;74,0820;1,6780;45,0690
65967,5125;55,5638;3,9900;74,3360;1,6674;45,8069
70100,1385;55,5082;3,9884;74,1040;1,6811;45,4517
74122,3683;55,6349;3,9855;73,9040;1,7673;45,0517
78344,1116;55,6312;3,9905;74,2800;1,6416;45,5621
82596,2825;55,5635;3,9901;73,9860;1,6977;45,0931
86939,5614;56,0498;3,9583;74,2800;1,7163;45,1310
91206,6688;55,8154;3,9601;74,3960;1,6855;45,8345
95425,6004;55,9210;3,9712;73,8140;1,7657;44,8069
99751,9965;55,7381;3,9559;74,3980;1,6184;45,9172
103975,2613;55,5219;3,9893;74,4420;1,6594;45,8552
108332,1376;56,1179;3,9391;74,3440;1,7140;46,0690
112637,5283;56,0312;3,9556;74,0940;1,7273;45,3345
116643,5541;56,0647;3,9538;74,1640;1,6764;45,2276
120656,5883;55,9224;3,9578;74,1820;1,7271;45,5069
124582,9232;55,4920;3,9834;74,2040;1,6643;45,5621
127288,2179;55,9083;3,9798;74,6660;1,5976;46,0621
