time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
5173,0675;51,6308;4,2152;72,9980;1,7050;44,4103
10170,8573;53,8168;4,0743;73,1680;1,7127;43,8069
13234,8750;54,6518;4,0258;73,3980;1,6768;44,8897
15981,1760;54,8592;3,9915;73,9460;1,6772;45,3103
18718,6729;54,9497;3,9805;73,8060;1,7503;44,7172
21462,6564;55,5474;3,9529;73,6720;1,7374;44,7690
24231,6542;55,7685;3,9447;74,2840;1,5823;45,6655
26962,8291;55,6400;3,9374;74,5000;1,6973;46,0483
29710,2489;55,4187;3,9256;74,2520;1,6653;45,9069
32526,9836;56,0239;3,8909;74,2560;1,6950;45,7966
35388,2836;55,8352;3,8990;74,3780;1,7192;45,4793
38302,3061;56,0886;3,8838;74,3140;1,7269;45,6310
41197,5026;55,9036;3,8813;74,4020;1,6972;45,6345
43994,3117;56,1659;3,8608;74,5360;1,6999;45,8310
46975,2552;56,3713;3,8588;74,6280;1,6848;45,9414
49898,0703;56,3053;3,8542;74,5240;1,7270;45,8207
52709,4025;56,4629;3,8499;74,3020;1,7947;45,8621
55600,2534;56,4211;3,8527;74,6000;1,6952;46,0103
58497,5683;56,4098;3,8498;74,5460;1,7277;45,9276
61494,6922;56,8387;3,8195;74,7740;1,7448;46,0034
64511,0822;56,7490;3,8180;74,8460;1,7063;46,3241
67459,4548;56,7944;3,8266;74,6240;1,8072;45,5207
70415,6861;56,6491;3,8111;74,7840;1,6588;46,3931
73394,2377;56,5600;3,8391;75,0320;1,6864;46,1414
76515,2139;57,1765;3,7914;74,9600;1,7568;46,5483
79522,0030;57,0902;3,8037;74,7820;1,7782;46,0138
82860,0390;57,1624;3,8016;74,8660;1,7257;46,0862
86310,1280;57,0515;3,8031;74,9000;1,7509;46,1690
89450,9147;56,6705;3,8272;74,8180;1,7176;46,2414
92816,8305;57,0567;3,8225;75,2340;1,6278;46,4310
