time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
1770,7810;50,3644;4,3068;72,8380;1,6890;43,8655
3952,4484;53,1396;4,1335;73,1860;1,7015;44,1483
5927,4907;54,0692;4,0833;73,2540;1,6872;44,6310
7691,3395;54,4223;4,0495;73,7280;1,6934;45,2276
9510,9388;54,5536;4,0397;73,5540;1,7511;44,3276
11355,1202;55,1978;4,0120;73,5580;1,7273;44,4414
13235,8383;55,4601;4,0052;74,3660;1,5746;45,5552
15360,9129;55,3989;3,9998;74,3640;1,7066;45,7379
17196,4555;55,2024;3,9905;74,1820;1,6225;45,9414
19077,6827;55,8006;3,9550;74,2680;1,6556;45,4034
21201,2538;55,6842;3,9649;74,1900;1,6936;45,4276
23009,8400;55,9159;3,9498;74,2060;1,6946;45,4897
24809,6490;55,7813;3,9485;74,3600;1,6600;45,5034
27484,9372;56,0704;3,9278;74,4140;1,6595;45,6793
30011,3300;56,2661;3,9263;74,6960;1,6548;46,1310
32424,8367;56,1747;3,9231;74,5400;1,6834;45,8759
34753,8289;56,3270;3,9193;74,3820;1,7532;45,6414
37981,2492;56,3149;3,9232;74,5580;1,6344;45,8448
40999,4526;56,2841;3,9217;74,3900;1,6756;45,6379
43608,2932;56,7393;3,8903;74,6980;1,7040;45,6862
46278,5666;56,5449;3,8907;74,7820;1,6696;46,3034
48743,3797;56,6298;3,9008;74,4020;1,7515;45,4069
51018,9734;56,4826;3,8849;74,8240;1,6109;46,3655
53477,4792;56,2967;3,9166;74,9240;1,6467;46,0552
55872,6367;56,9180;3,8669;74,6680;1,7078;46,5414
58277,9460;56,8270;3,8818;74,6320;1,7293;45,8138
60255,5279;56,8635;3,8798;74,7420;1,6717;45,8138
62158,7447;56,7519;3,8826;74,7880;1,7123;46,0724
64629,3338;56,2785;3,9074;74,7700;1,6601;46,1655
67154,3247;56,7125;3,9033;74,9860;1,5867;46,4207
