time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
2919,0745;48,9031;4,4068;72,1260;1,6917;42,8241
5898,6097;52,1921;4,1922;72,4420;1,7121;43,5483
8889,9893;53,2196;4,1387;72,7340;1,6861;44,0724
11921,5678;53,5807;4,1048;73,3620;1,7028;44,8517
15093,6162;53,7565;4,0951;72,9720;1,7757;43,8172
18625,2465;54,4762;4,0674;73,2320;1,7463;44,0414
22148,8864;54,7152;4,0614;74,1580;1,5844;45,0448
25618,5703;54,7089;4,0567;73,9160;1,7253;45,0586
28822,3081;54,5144;4,0492;73,8780;1,6276;45,4310
31647,9153;55,1130;4,0136;73,9640;1,6648;44,8414
34476,5259;54,9960;4,0251;73,7260;1,7003;44,8379
37324,1339;55,2234;4,0105;73,8980;1,7054;45,1966
43064,1913;55,1200;4,0103;73,8000;1,6893;45,1966
49550,1808;55,4107;3,9907;74,0920;1,6784;45,0552
55941,1063;55,5660;3,9900;74,3420;1,6680;45,8207
61640,5993;55,5047;3,9884;74,0940;1,6813;45,4448
67132,3325;55,6354;3,9855;73,8840;1,7671;45,0621
72903,8601;55,6299;3,9905;74,2560;1,6418;45,5586
78636,4423;55,5674;3,9901;73,9920;1,6978;45,0276
84291,3480;56,0512;3,9583;74,2600;1,7162;45,1207
90019,5017;55,8152;3,9601;74,4060;1,6850;45,8552
95696,4476;55,9169;3,9712;73,8420;1,7658;44,7897
101472,5373;55,7370;3,9559;74,3940;1,6185;45,8862
107310,7611;55,5254;3,9893;74,4520;1,6595;45,8897
112968,1832;56,1179;3,9391;74,3620;1,7139;46,0517
118621,9441;56,0289;3,9556;74,1040;1,7273;45,3172
124547,1693;56,0641;3,9538;74,1620;1,6765;45,2172
128938,5617;55,9233;3,9578;74,1440;1,7268;45,5000
132223,3281;55,4886;3,9834;74,1940;1,6642;45,5724
135345,2609;55,9115;3,9798;74,6440;1,5976;46,0414
