;config_754_avg
Standard_Acc;90,0500
RMSCE;0,1181
gaussian_noise;87,5000
shot_noise;83,6000
impulse_noise;84,2000
defocus_blur;62,1000
glass_blur;51,7000
motion_blur;68,3000
zoom_blur;68,9000
snow;72,0000
frost;74,2000
fog;76,3000
brightness;86,6000
contrast;79,3000
elastic_transform;79,0000
pixelate;86,7000
jpeg_compression;84,8000
speckle_noise;87,2000
gaussian_blur;55,3000
spatter;77,5000
saturate;83,3000
blue_noise_sample;76,9000
brownish_noise;80,3000
caustic_refraction;79,3000
checkerboard_cutout;68,2000
cocentric_sine_waves;49,5000
inverse_sparkles;58,5000
perlin_noise;83,4000
plasma_noise;64,0000
single_frequency_greyscale;62,6000
sparkles;83,5000
Acc_C-all-19;76,2368
Acc_C-original-15;76,3467
Acc_C-bar-10;70,6200
Acc_all-ex-pixelwise-noise-24;72,3042
RMSCE_C;0,1023
Acc_A;9,1176
Acc_R;59,8372
Acc_Sketch;53,6859
Acc_ES-auto_exposure;0,0000
Acc_ES-param_control;0,1058
Acc_V2;78,7000
uniform-l1,1403.4,False,max;90,0400
uniform-l2,10.37,False,max;89,8300
uniform-linf,0.1446,False,max;88,6000
uniform-l0.5,200000000.0,True,max;89,6200
uniform-l1,2500.0,True,max;89,6400
uniform-l2,8.0,True,max;89,7600
uniform-l10,0.07,True,max;89,8300
uniform-l50,0.035,True,max;89,8200
uniform-linf,0.015,True,max;89,8700
uniform-l0-impulse,0.01,True,max;88,7400
uniform-l0-impulse,0.02,True,max;88,1400
uniform-l0-impulse,0.05,True,max;86,4700
uniform-l0-impulse,0.1,True,max;84,0300
uniform-l0-impulse,0.2,True,max;80,6100
uniform-l0-impulse,0.5,True,max;71,4400
uniform-l0.5,200000000.0,False,max;89,6200
uniform-l0.5,500000000.0,False,max;89,2200
uniform-l0.5,1000000000.0,False,max;88,0800
uniform-l0.5,2000000000.0,False,max;85,8600
uniform-l0.5,5000000000.0,False,max;79,7700
uniform-l0.5,10000000000.0,False,max;72,4400
uniform-l1,1000.0,False,max;89,9000
uniform-l1,5000.0,False,max;89,4400
uniform-l1,10000.0,False,max;88,7000
uniform-l1,20000.0,False,max;86,1200
uniform-l1,50000.0,False,max;78,7000
uniform-l1,100000.0,False,max;65,4300
uniform-l2,5.0,False,max;89,9000
uniform-l2,10.0,False,max;89,7500
uniform-l2,20.0,False,max;89,3900
uniform-l2,50.0,False,max;87,9800
uniform-l2,100.0,False,max;83,6700
uniform-l2,200.0,False,max;74,1400
uniform-l10,0.05,False,max;89,9100
uniform-l10,0.1,False,max;89,8400
uniform-l10,0.2,False,max;89,4400
uniform-l10,0.5,False,max;88,0900
uniform-l10,1.0,False,max;84,6900
uniform-l10,2.0,False,max;75,5800
uniform-l50,0.02,False,max;89,9600
uniform-l50,0.05,False,max;89,7100
uniform-l50,0.1,False,max;89,5200
uniform-l50,0.2,False,max;88,3800
uniform-l50,0.5,False,max;83,7000
uniform-l50,1.0,False,max;71,7700
uniform-linf,0.02,False,max;89,8900
uniform-linf,0.05,False,max;89,7000
uniform-linf,0.1,False,max;89,1800
uniform-linf,0.2,False,max;88,0800
uniform-linf,0.5,False,max;81,5000
uniform-linf,1.0,False,max;66,1100
Class Separation Robustness;89,4900
imperceptible Robustness;89,7567
Average p-norm robustness;84,5855
