;config_502_avg
Standard_Acc;90,8800
RMSCE;0,1222
gaussian_noise;62,0000
shot_noise;57,3000
impulse_noise;61,4000
defocus_blur;59,7000
glass_blur;42,2000
motion_blur;71,7000
zoom_blur;65,7000
snow;68,3000
frost;67,3000
fog;82,8000
brightness;88,5000
contrast;84,0000
elastic_transform;74,3000
pixelate;85,2000
jpeg_compression;79,0000
speckle_noise;68,5000
gaussian_blur;52,1000
spatter;74,4000
saturate;86,3000
blue_noise_sample;64,5000
brownish_noise;84,7000
caustic_refraction;77,7000
checkerboard_cutout;74,6000
cocentric_sine_waves;32,2000
inverse_sparkles;54,8000
perlin_noise;84,7000
plasma_noise;63,7000
single_frequency_greyscale;37,3000
sparkles;85,2000
Acc_C-all-19;70,0368
Acc_C-original-15;69,9600
Acc_C-bar-10;65,9400
Acc_all-ex-pixelwise-noise-24;69,8500
RMSCE_C;0,1101
uniform-l1,1403.4,False,max;90,3800
uniform-l2,10.37,False,max;89,1100
uniform-linf,0.1446,False,max;81,5400
uniform-l0.5,200000000.0,True,max;89,7600
uniform-l1,2500.0,True,max;89,6500
uniform-l2,8.0,True,max;89,8700
uniform-l10,0.07,True,max;90,3900
uniform-l50,0.035,True,max;90,1500
uniform-linf,0.015,True,max;90,3000
uniform-l0-impulse,0.01,True,max;86,6600
uniform-l0-impulse,0.02,True,max;83,7900
uniform-l0-impulse,0.05,True,max;75,8900
uniform-l0-impulse,0.1,True,max;65,4400
uniform-l0-impulse,0.2,True,max;46,6200
uniform-l0-impulse,0.5,True,max;10,7800
uniform-l0.5,200000000.0,False,max;89,6000
uniform-l0.5,500000000.0,False,max;85,8600
uniform-l0.5,1000000000.0,False,max;79,2600
uniform-l0.5,2000000000.0,False,max;64,5500
uniform-l0.5,5000000000.0,False,max;31,4700
uniform-l0.5,10000000000.0,False,max;8,4300
uniform-l1,1000.0,False,max;90,5600
uniform-l1,5000.0,False,max;87,1800
uniform-l1,10000.0,False,max;80,7300
uniform-l1,20000.0,False,max;66,2300
uniform-l1,50000.0,False,max;24,5800
uniform-l1,100000.0,False,max;3,2300
uniform-l2,5.0,False,max;90,4200
uniform-l2,10.0,False,max;89,3900
uniform-l2,20.0,False,max;86,2800
uniform-l2,50.0,False,max;74,8500
uniform-l2,100.0,False,max;49,4600
uniform-l2,200.0,False,max;11,2900
uniform-l10,0.05,False,max;90,4700
uniform-l10,0.1,False,max;89,8600
uniform-l10,0.2,False,max;87,2300
uniform-l10,0.5,False,max;78,1400
uniform-l10,1.0,False,max;57,3900
uniform-l10,2.0,False,max;14,5300
uniform-l50,0.02,False,max;90,5600
uniform-l50,0.05,False,max;89,3100
uniform-l50,0.1,False,max;86,5600
uniform-l50,0.2,False,max;79,3600
uniform-l50,0.5,False,max;49,7500
uniform-l50,1.0,False,max;7,2100
uniform-linf,0.02,False,max;90,4200
uniform-linf,0.05,False,max;88,8700
uniform-linf,0.1,False,max;85,3500
uniform-linf,0.2,False,max;76,7300
uniform-linf,0.5,False,max;39,0700
uniform-linf,1.0,False,max;3,1800
Class Separation Robustness;87,0100
imperceptible Robustness;90,0200
Average p-norm robustness;63,9652
