inf-norm-min-adv-dist;inf-norm-PGD-dist;inf-norm-sec-att-dist;inf-norm-Clever-10-samples;2-norm-min-adv-dist;2-norm-PGD-dist;2-norm-sec-att-dist;2-norm-Clever-10-samples
0.0;0.0;0.0;1.1989461479928697e-09;0.0;0.0;0.0;0.004385333371279464
0.0;0.0;0.0;3.9343429461473575e-09;0.0;0.0;0.0;0.12001335813431716
0.0;0.0;0.0;1.5194234032407476e-09;0.0;0.0;0.0;0.1345283036760599
0.0;0.0;0.0;5.9514793047017025e-09;0.0;0.0;0.0;1.6430848649507042e-06
0.0;0.0;0.0;1.9369788792098747e-08;0.0;0.0;0.0;0.0007023375316274355
0.0;0.0;0.0;3.022183236719765e-09;0.0;0.0;0.0;8.859002208047139e-07
0.0;0.0;0.0;1.555023219506899e-10;0.0;0.0;0.0;1.706604033495371e-07
0.0;0.0;0.0;0.00011512430127893469;0.0;0.0;0.0;4.1123131629758616e-08
0.0;0.0;0.0;0.00040813026452513035;0.0;0.0;0.0;1.0045320350131262e-06
0.0;0.0;0.0;0.0006759095987011337;0.0;0.0;0.0;0.14469797497884415
0.0010000169277191162;0.0010000169277191162;0.01682490110397339;1.1627711258681321e-07;0.003515462623909116;0.009999985806643963;0.003515462623909116;4.2102347911885457e-07
0.0010000169277191162;0.0010000169277191162;0.11572843790054321;6.552458725466721e-10;0.006974032614380121;0.010000023990869522;0.006974032614380121;2.242303975439603e-06
0.0010000169277191162;0.0010000169277191162;0.0780201256275177;2.6332825968806674e-09;0.013004587963223457;0.019956573843955994;0.013004587963223457;0.00010321192775951404
0.0010000169277191162;0.0010000169277191162;0.005863696336746216;9.447873886819435e-10;0.016521859914064407;0.01981915719807148;0.016521859914064407;1.6870177560458141e-07
0.0010000169277191162;0.0010000169277191162;0.2619394063949585;9.333963312597773e-10;0.039756834506988525;0.039756834506988525;0.039816517382860184;1.3558919582059928e-06
0.0010000169277191162;0.0010000169277191162;0.24870634078979492;1.8621011672059616e-09;0.04106387868523598;0.049527253955602646;0.04106387868523598;0.0005268780119511828
0.0010000169277191162;0.0010000169277191162;0.002129495143890381;1.69625123736833e-10;0.07803665101528168;0.07868923991918564;0.07803665101528168;3.532522147119216e-07
0.0010000169277191162;0.0010000169277191162;0.04125908017158508;4.5568871896824417e-10;0.1006665974855423;0.11413154006004333;0.1006665974855423;1.0790786296080333e-07
0.0010000169277191162;0.0010000169277191162;0.0887029767036438;2.5670465808046135e-10;0.10819467157125473;0.11436496675014496;0.10819467157125473;1.1492958283609468e-07
0.0010000169277191162;0.0010000169277191162;0.0023719370365142822;2.5096660220601843e-10;0.1439329981803894;0.1439329981803894;0.15725263953208923;0.0011216443785476522
0.0010000169277191162;0.0010000169277191162;0.1386631578207016;2.9288765631280868e-09;0.14562228322029114;0.14562228322029114;0.16821244359016418;2.037683058414415e-07
0.001000046730041504;0.001000046730041504;0.038992494344711304;0.0003925595418074269;0.14601923525333405;0.1472882181406021;0.14601923525333405;1.6433421447837655e-06
0.001000046730041504;0.001000046730041504;0.01591697335243225;1.1802222850388196e-09;0.1505376249551773;0.17963550984859467;0.1505376249551773;1.0304565370875181e-06
0.0020000040531158447;0.0020000040531158447;0.15457364916801453;4.0187608175186904e-10;0.15426281094551086;0.15426281094551086;0.1712464690208435;6.101508263399682e-07
