inf-norm-min-adv-dist;inf-norm-PGD-dist;inf-norm-sec-att-dist;inf-norm-Clever-0.0-samples;2-norm-min-adv-dist;2-norm-PGD-dist;2-norm-sec-att-dist;2-norm-Clever-0.0-samples
0.009720265865325928;0.009720265865325928;0.8523317575454712;0.0;0.9671183228492737;1.593153953552246;0.9671183228492737;0.0
0.009808838367462158;0.009808838367462158;0.8635985255241394;0.0;0.9688477516174316;1.0017600059509277;0.9688477516174316;0.0
0.00987166166305542;0.00987166166305542;0.9933194518089294;0.0;0.9692453145980835;1.568189024925232;0.9692453145980835;0.0
0.009957939386367798;0.009957939386367798;0.7389597296714783;0.0;0.9710158109664917;2.9048843383789062;0.9710158109664917;0.0
0.010105133056640625;0.010105133056640625;0.8879520893096924;0.0;0.9712899327278137;0.9712899327278137;1.0301228761672974;0.0
0.010151728987693787;0.010151728987693787;0.8164993524551392;0.0;0.9732130765914917;1.8530057668685913;0.9732130765914917;0.0
0.01015375554561615;0.01015375554561615;0.981685996055603;0.0;0.9754179120063782;0.9754179120063782;1.0414153337478638;0.0
0.010170096531510353;0.010170096531510353;0.996034562587738;0.0;0.9765447378158569;1.7886770963668823;0.9765447378158569;0.0
0.010178327560424805;0.010178327560424805;0.988360583782196;0.0;0.9800436496734619;1.2920242547988892;0.9800436496734619;0.0
0.010229110717773438;0.010229110717773438;0.7706325650215149;0.0;0.9808971285820007;1.2984591722488403;0.9808971285820007;0.0
0.010235846042633057;0.010235846042633057;0.8602656722068787;0.0;0.9833410978317261;1.3137966394424438;0.9833410978317261;0.0
0.010236591100692749;0.010236591100692749;0.9637426733970642;0.0;0.9876673221588135;1.696520209312439;0.9876673221588135;0.0
0.010252401232719421;0.010252401232719421;0.8071607351303101;0.0;0.995220422744751;1.4120874404907227;0.995220422744751;0.0
0.010281354188919067;0.010281354188919067;0.4379836618900299;0.0;0.9962599873542786;1.2574877738952637;0.9962599873542786;0.0
0.010360389947891235;0.010360389947891235;0.7990207076072693;0.0;1.0039575099945068;1.998159646987915;1.0039575099945068;0.0
0.010377168655395508;0.010377168655395508;0.9560996294021606;0.0;1.0045174360275269;1.2222765684127808;1.0045174360275269;0.0
0.01042705774307251;0.01042705774307251;0.9511080980300903;0.0;1.0050384998321533;1.0050384998321533;1.2960647344589233;0.0
0.010442495346069336;0.010442495346069336;0.9644027948379517;0.0;1.011204481124878;2.1738691329956055;1.011204481124878;0.0
0.010479986667633057;0.010479986667633057;0.9043223261833191;0.0;1.015390157699585;1.3894277811050415;1.015390157699585;0.0
0.01048511266708374;0.01048511266708374;0.9567470550537109;0.0;1.0175420045852661;1.9229334592819214;1.0175420045852661;0.0
0.010510608553886414;0.010510608553886414;0.9302734136581421;0.0;1.0175868272781372;1.6591994762420654;1.0175868272781372;0.0
0.010561645030975342;0.010561645030975342;0.5252106189727783;0.0;1.0201464891433716;1.0201464891433716;1.2167835235595703;0.0
0.010579943656921387;0.010579943656921387;0.8932757377624512;0.0;1.0210050344467163;1.5914937257766724;1.0210050344467163;0.0
0.010621309280395508;0.010621309280395508;0.9999943375587463;0.0;1.022497296333313;1.3625695705413818;1.022497296333313;0.0
0.0106620192527771;0.0106620192527771;0.8764636516571045;0.0;1.0275626182556152;3.258399248123169;1.0275626182556152;0.0
0.010729849338531494;0.010729849338531494;0.757422685623169;0.0;1.0327107906341553;1.3815704584121704;1.0327107906341553;0.0
0.010730881243944168;0.010730881243944168;0.8276997804641724;0.0;1.035444974899292;1.2721580266952515;1.035444974899292;0.0
0.010793983936309814;0.010793983936309814;0.9710584878921509;0.0;1.039681077003479;1.039681077003479;1.0515257120132446;0.0
0.010828644037246704;0.010828644037246704;0.9177996516227722;0.0;1.042454481124878;2.5715789794921875;1.042454481124878;0.0
0.010838925838470459;0.010838925838470459;0.8904083371162415;0.0;1.0513248443603516;2.4012033939361572;1.0513248443603516;0.0
0.010925859212875366;0.010925859212875366;0.98907470703125;0.0;1.0522297620773315;1.1050758361816406;1.0522297620773315;0.0
0.010955005884170532;0.010955005884170532;0.929025411605835;0.0;1.0548772811889648;2.5016887187957764;1.0548772811889648;0.0
0.010991930961608887;0.010991930961608887;0.8397896885871887;0.0;1.057807445526123;1.2209692001342773;1.057807445526123;0.0
0.011009931564331055;0.011009931564331055;0.993364691734314;0.0;1.065273642539978;1.381961464881897;1.065273642539978;0.0
0.01109623908996582;0.01109623908996582;0.9875440001487732;0.0;1.0734318494796753;1.4074116945266724;1.0734318494796753;0.0
0.011113107204437256;0.011113107204437256;0.7703040838241577;0.0;1.0766617059707642;1.0766617059707642;1.3067238330841064;0.0
0.011170119047164917;0.011170119047164917;0.7706788182258606;0.0;1.0782783031463623;1.5677992105484009;1.0782783031463623;0.0
0.011178046464920044;0.011178046464920044;0.9947436451911926;0.0;1.0790706872940063;1.9350686073303223;1.0790706872940063;0.0
0.011179625988006592;0.011179625988006592;0.8417316675186157;0.0;1.082685947418213;1.372496247291565;1.082685947418213;0.0
0.011221826076507568;0.011221826076507568;0.9589555263519287;0.0;1.0833463668823242;1.8894752264022827;1.0833463668823242;0.0
0.011283591389656067;0.011283591389656067;0.9806920289993286;0.0;1.086441159248352;2.2880022525787354;1.086441159248352;0.0
0.011350616812705994;0.011350616812705994;0.9693200588226318;0.0;1.0874528884887695;1.2282865047454834;1.0874528884887695;0.0
0.011442959308624268;0.011442959308624268;0.9493818283081055;0.0;1.0893054008483887;3.556318759918213;1.0893054008483887;0.0
0.011500231921672821;0.011500231921672821;0.8708531856536865;0.0;1.0914225578308105;1.7875207662582397;1.0914225578308105;0.0
0.011517703533172607;0.011517703533172607;0.8647032976150513;0.0;1.0983011722564697;1.4215630292892456;1.0983011722564697;0.0
0.01152104139328003;0.01152104139328003;0.9353847503662109;0.0;1.098468542098999;1.9574639797210693;1.098468542098999;0.0
0.011537671089172363;0.011537671089172363;0.9323001503944397;0.0;1.1007301807403564;1.60444176197052;1.1007301807403564;0.0
0.011644959449768066;0.011644959449768066;0.8948021531105042;0.0;1.1054400205612183;1.5471928119659424;1.1054400205612183;0.0
0.011687755584716797;0.011687755584716797;0.9664879441261292;0.0;1.1063467264175415;1.5915703773498535;1.1063467264175415;0.0
0.01171848177909851;0.01171848177909851;0.9953493475914001;0.0;1.10940682888031;1.319303274154663;1.10940682888031;0.0
