;config_528_avg
Standard_Acc;89,5400
RMSCE;0,1038
gaussian_noise;60,3720
shot_noise;59,4360
impulse_noise;60,5800
defocus_blur;57,0160
glass_blur;54,4480
motion_blur;63,2440
zoom_blur;70,2680
snow;57,5880
frost;64,9160
fog;72,8520
brightness;82,9800
contrast;56,6000
elastic_transform;69,9440
pixelate;69,5360
jpeg_compression;76,1040
speckle_noise;67,6400
gaussian_blur;59,5840
spatter;72,8600
saturate;78,6040
blue_noise_sample;70,9240
brownish_noise;80,6400
caustic_refraction;78,1760
checkerboard_cutout;73,9800
cocentric_sine_waves;42,6240
inverse_sparkles;58,1800
perlin_noise;82,6640
plasma_noise;56,9320
single_frequency_greyscale;43,6120
sparkles;83,6920
Acc_C-all-19;66,0301
Acc_C-original-15;65,0589
Acc_C-bar-10;67,1424
Acc_all-ex-pixelwise-noise-24;66,9602
RMSCE_C;0,0732
Acc_A;10,8824
Acc_R;51,8860
Acc_Sketch;42,6381
Acc_ES-auto_exposure;0,0000
Acc_ES-param_control;0,0265
Acc_V2;80,4000
uniform-l1,1403.4,False,max;89,3000
uniform-l2,10.37,False,max;88,9600
uniform-linf,0.1446,False,max;82,9600
uniform-l0.5,200000000.0,True,max;89,1400
uniform-l1,2500.0,True,max;89,0400
uniform-l2,8.0,True,max;89,1000
uniform-l10,0.07,True,max;89,3000
uniform-l50,0.035,True,max;89,2000
uniform-linf,0.015,True,max;89,5400
uniform-l0-impulse,0.01,True,max;86,8600
uniform-l0-impulse,0.02,True,max;84,1400
uniform-l0-impulse,0.05,True,max;73,5000
uniform-l0-impulse,0.1,True,max;54,3000
uniform-l0-impulse,0.2,True,max;25,3800
uniform-l0-impulse,0.5,True,max;2,3600
uniform-l0.5,200000000.0,False,max;89,1000
uniform-l0.5,500000000.0,False,max;86,4000
uniform-l0.5,1000000000.0,False,max;78,8800
uniform-l0.5,2000000000.0,False,max;54,0200
uniform-l0.5,5000000000.0,False,max;12,3400
uniform-l0.5,10000000000.0,False,max;2,2200
uniform-l1,1000.0,False,max;89,4000
uniform-l1,5000.0,False,max;87,2800
uniform-l1,10000.0,False,max;81,6400
uniform-l1,20000.0,False,max;57,7200
uniform-l1,50000.0,False,max;8,2800
uniform-l1,100000.0,False,max;1,3600
uniform-l2,5.0,False,max;89,1600
uniform-l2,10.0,False,max;89,0400
uniform-l2,20.0,False,max;87,0200
uniform-l2,50.0,False,max;73,7200
uniform-l2,100.0,False,max;30,5800
uniform-l2,200.0,False,max;3,2400
uniform-l10,0.05,False,max;89,3800
uniform-l10,0.1,False,max;89,2600
uniform-l10,0.2,False,max;87,7600
uniform-l10,0.5,False,max;78,4800
uniform-l10,1.0,False,max;41,2600
uniform-l10,2.0,False,max;4,3600
uniform-l50,0.02,False,max;89,4600
uniform-l50,0.05,False,max;89,1800
uniform-l50,0.1,False,max;87,1400
uniform-l50,0.2,False,max;80,4200
uniform-l50,0.5,False,max;30,9800
uniform-l50,1.0,False,max;2,2800
uniform-linf,0.02,False,max;89,5000
uniform-linf,0.05,False,max;88,5800
uniform-linf,0.1,False,max;86,6400
uniform-linf,0.2,False,max;76,4000
uniform-linf,0.5,False,max;19,9400
uniform-linf,1.0,False,max;1,3400
Class Separation Robustness;87,0733
imperceptible Robustness;89,2200
Average p-norm robustness;59,0548
