2-norm-min-adv-dist;2-norm-PGD-dist;2-norm-sec-att-dist;2-norm-Clever-0.0-samples
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.009968969039618969;0.009968969039618969;0.10763849318027496;0.0
0.009979807771742344;0.009979807771742344;0.06402475386857986;0.0
0.009991559199988842;0.009991559199988842;0.058357324451208115;0.0
0.009999589994549751;0.009999589994549751;0.10341112315654755;0.0
0.009999999776482582;0.009999999776482582;0.0858977884054184;0.0
0.010000007227063179;0.010000007227063179;0.08107789605855942;0.0
0.010000011883676052;0.010000011883676052;0.09428209811449051;0.0
0.017053736373782158;0.017053736373782158;0.06735309958457947;0.0
0.017070917412638664;0.017070917412638664;0.0949619859457016;0.0
0.017165817320346832;0.017165817320346832;0.08989552408456802;0.0
0.017261454835534096;0.017261454835534096;0.07357819378376007;0.0
0.01727181300520897;0.01727181300520897;0.06705725193023682;0.0
0.017282836139202118;0.017282836139202118;0.11387372761964798;0.0
0.024328770115971565;0.024328770115971565;0.1098330169916153;0.0
0.02436557412147522;0.02436557412147522;0.08020059764385223;0.0
0.024487705901265144;0.024487705901265144;0.21682743728160858;0.0
0.031439799815416336;0.031439799815416336;0.1103072315454483;0.0
0.031462643295526505;0.031462643295526505;0.07414241880178452;0.0
0.03151833266019821;0.03151833266019821;0.07089933007955551;0.0
0.03152427449822426;0.03152427449822426;0.13235090672969818;0.0
0.03157508000731468;0.03157508000731468;0.1851368546485901;0.0
0.034545958042144775;0.034545958042144775;0.17234548926353455;0.0
0.038434144109487534;0.038434144109487534;0.09043745696544647;0.0
0.043286774307489395;0.043286774307489395;0.1345830112695694;0.0
0.04473426565527916;0.04473426565527916;0.11452524363994598;0.0
0.045430369675159454;0.045430369675159454;0.08215751498937607;0.0
0.04558636248111725;0.04558636248111725;0.17751815915107727;0.0
0.04569179564714432;0.04569179564714432;0.07460307329893112;0.0
0.0498826764523983;0.0498826764523983;0.28308114409446716;0.0
0.05170990154147148;0.05170990154147148;0.20306488871574402;0.0
0.05221480503678322;0.05221480503678322;0.13292177021503448;0.0
0.05237767472863197;0.05237767472863197;0.13122215867042542;0.0
0.052425678819417953;0.052425678819417953;0.15474212169647217;0.0
0.05728449299931526;0.05728449299931526;0.15982206165790558;0.0
0.058896105736494064;0.058896105736494064;0.20419058203697205;0.0
0.05930859223008156;0.05930859223008156;0.17292295396327972;0.0
0.05931618809700012;0.05931618809700012;0.16343924403190613;0.0
0.059476010501384735;0.059476010501384735;0.1743832379579544;0.0
0.05952752009034157;0.05952752009034157;0.20023296773433685;0.0
0.059634916484355927;0.059634916484355927;0.17740365862846375;0.0
0.063240647315979;0.063240647315979;0.20869983732700348;0.0
0.0650833323597908;0.0650833323597908;0.14184986054897308;0.0
0.06554150581359863;0.06554150581359863;0.1439686268568039;0.0
0.06647278368473053;0.06647278368473053;0.20838375389575958;0.0
0.06648783385753632;0.06648783385753632;0.16071034967899323;0.0
0.06690498441457748;0.06690498441457748;0.24571281671524048;0.0
0.07156088948249817;0.07156088948249817;0.15196329355239868;0.0
0.07231457531452179;0.07231457531452179;0.1406966596841812;0.0
0.072860948741436;0.072860948741436;0.1960439383983612;0.0
0.0729791596531868;0.0729791596531868;0.1302454024553299;0.0
0.07304035127162933;0.07304035127162933;0.15046201646327972;0.0
0.0730477049946785;0.0730477049946785;0.1253976672887802;0.0
0.07351202517747879;0.07351202517747879;0.1821557879447937;0.0
0.0738547220826149;0.0738547220826149;0.2078143209218979;0.0
0.079187773168087;0.079187773168087;0.19456423819065094;0.0
0.07958342880010605;0.07958342880010605;0.16843165457248688;0.0
0.07961079478263855;0.07961079478263855;0.12976080179214478;0.0
0.07963681221008301;0.07963681221008301;0.12688831984996796;0.0
0.07973205298185349;0.07973205298185349;0.22207240760326385;0.0
0.07986496388912201;0.07986496388912201;0.1582571268081665;0.0
0.07998131215572357;0.07998131215572357;0.14600087702274323;0.0
0.08022791892290115;0.08022791892290115;0.18031272292137146;0.0
0.08060120046138763;0.08060120046138763;0.14766763150691986;0.0
0.08060756325721741;0.08060756325721741;0.16531333327293396;0.0
0.08631160110235214;0.08631160110235214;0.1737697273492813;0.0
0.08716966211795807;0.08716966211795807;0.1779334396123886;0.0
0.0872766375541687;0.0872766375541687;0.17476867139339447;0.0
0.08730107545852661;0.08730107545852661;0.19188028573989868;0.0
0.08751561492681503;0.08751561492681503;0.20158828794956207;0.0
0.09221287071704865;0.09221287071704865;0.15681806206703186;0.0
0.09259175509214401;0.09259175509214401;0.1712612509727478;0.0
0.09260443598031998;0.09260443598031998;0.17121008038520813;0.0
0.09311995655298233;0.09311995655298233;0.1733161211013794;0.0
0.09435900300741196;0.09435900300741196;0.14116963744163513;0.0
0.09635474532842636;0.09635474532842636;0.1970270872116089;0.0
0.09654261916875839;0.09654261916875839;0.19314169883728027;0.0
0.09771543741226196;0.09771543741226196;0.23208482563495636;0.0
0.09833560883998871;0.09833560883998871;0.17638005316257477;0.0
0.09889527410268784;0.09889527410268784;0.15885327756404877;0.0
0.0998513400554657;0.0998513400554657;0.19538187980651855;0.0
0.10107510536909103;0.10107510536909103;0.14180856943130493;0.0
0.10151302814483643;0.10151302814483643;0.232432559132576;0.0
0.10435936599969864;0.10435936599969864;0.19943948090076447;0.0
0.10554762184619904;0.10554762184619904;0.25781288743019104;0.0
0.10637753456830978;0.10637753456830978;1.1448713541030884;0.0
