time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
29397,8409;78,5009;1,4968;83,2200;0,7707;50,8103
29686,5175;78,7480;1,4889;82,5800;0,8295;49,6069
30064,9447;78,7195;1,4892;83,2400;0,7410;50,8241
30456,0635;79,1339;1,4773;83,9200;0,7578;52,0621
31074,4514;79,1174;1,4756;83,6600;0,7817;52,0276
31600,5432;79,2468;1,4728;82,4000;0,8151;51,1483
31972,2149;79,3281;1,4693;82,6800;0,7721;48,3345
32382,7970;79,6375;1,4597;84,0200;0,7326;52,9552
32768,8031;79,9233;1,4484;84,8200;0,7212;51,3103
33117,8539;79,9698;1,4476;83,7400;0,7606;53,9517
33460,2544;80,2066;1,4421;84,1000;0,7584;52,1241
33777,9745;80,0243;1,4473;83,8400;0,7834;52,0586
34084,1273;80,4442;1,4324;84,8000;0,7046;53,5034
34482,4612;80,6139;1,4276;84,3800;0,7252;52,8138
34870,0033;80,7221;1,4243;83,6800;0,7526;52,5517
35266,4974;81,1231;1,4139;84,6400;0,7051;52,9414
35598,1960;81,2186;1,4112;84,4200;0,7401;52,5862
36034,3832;81,4712;1,4005;85,0200;0,7347;53,3069
36638,5521;81,6203;1,3921;85,2400;0,7249;52,9724
37269,3093;81,9645;1,3857;84,4200;0,7377;51,8759
37879,4069;82,0718;1,3802;85,3600;0,7038;53,5655
38509,5672;82,1224;1,3806;84,9400;0,7156;54,4724
39114,9888;82,1413;1,3788;85,0800;0,7234;54,3793
39775,3386;82,3347;1,3725;85,0000;0,7180;53,6103
40354,5382;82,5068;1,3671;86,3000;0,6706;55,0034
40971,8627;82,9559;1,3550;85,5600;0,6786;53,8828
41622,6893;83,2322;1,3461;85,2200;0,6936;55,3517
42263,6688;83,3806;1,3400;85,7000;0,6876;54,8897
42913,9936;83,3963;1,3377;85,8600;0,6818;55,0793
43549,3797;83,6797;1,3321;86,4400;0,6915;55,5828
44201,2392;83,8036;1,3257;85,6400;0,7102;55,8552
44876,6926;83,9868;1,3213;85,7400;0,7187;54,5310
45475,6372;84,0854;1,3158;85,7000;0,6893;55,2207
46021,2629;84,3972;1,3056;84,3000;0,7438;54,3310
46647,3327;84,4296;1,3060;86,4800;0,6659;56,6103
47265,5746;84,4493;1,3024;86,3800;0,6447;56,4310
47869,2086;85,0587;1,2872;86,0400;0,6936;54,7586
48442,0990;84,9663;1,2895;86,9600;0,6759;56,4483
49094,1797;85,1668;1,2826;86,3400;0,6505;57,0793
49737,3253;85,3436;1,2761;86,3200;0,6672;55,5931
50351,3250;85,6554;1,2688;86,4000;0,6549;56,4655
51026,5919;85,9435;1,2616;86,9600;0,6672;57,4034
51749,6990;85,8764;1,2608;87,4200;0,6567;56,9655
52423,6248;85,9822;1,2558;87,4600;0,6587;55,7345
53091,1819;86,4408;1,2451;86,7200;0,6465;57,0345
53757,6432;86,4629;1,2406;86,8600;0,6523;57,0655
54309,7154;86,8742;1,2311;87,2000;0,6387;57,1862
54947,8279;86,9097;1,2282;87,2200;0,6460;57,7310
55554,4200;87,0810;1,2225;86,6400;0,6774;56,5862
56202,4404;87,1804;1,2205;87,4600;0,6505;56,9069
56834,6973;87,4227;1,2107;87,3800;0,6468;56,8931
57389,3696;87,6895;1,2043;87,4000;0,6339;58,7483
58037,9998;87,9232;1,1980;87,8400;0,6133;58,3828
58675,1732;87,9066;1,1959;87,7600;0,6254;57,0862
59284,1432;88,1845;1,1909;87,4200;0,6292;58,1517
59934,3049;88,3021;1,1849;88,0600;0,6200;58,3724
60553,6263;88,4749;1,1781;88,1200;0,6160;58,6621
61165,7844;88,5823;1,1760;88,1800;0,6281;58,4586
61461,1395;88,8956;1,1671;87,4600;0,6269;59,3483
61823,4907;88,9730;1,1646;87,9400;0,6202;58,8207
62155,4120;89,1743;1,1568;87,7800;0,6355;58,7517
62470,5730;89,2272;1,1549;88,4400;0,6035;58,4828
62764,7027;89,3937;1,1515;87,4600;0,6349;58,7690
63049,6120;89,5760;1,1454;88,3400;0,6155;59,3759
63344,2069;89,6479;1,1396;88,5600;0,6162;58,9897
63630,2410;89,8334;1,1367;88,1200;0,6182;59,3000
63921,5721;89,8689;1,1349;88,2600;0,6067;59,6172
64205,0047;90,0078;1,1283;88,7800;0,6001;59,1310
64495,9543;90,0891;1,1250;88,2200;0,6157;59,2828
64784,4493;90,2296;1,1236;88,4000;0,6031;59,9448
65095,7531;90,4814;1,1163;88,2000;0,6148;60,0138
65399,1219;90,5454;1,1119;88,4800;0,6144;59,9000
65676,7377;90,6993;1,1112;88,9800;0,6122;60,4379
65963,7263;90,7632;1,1051;88,4000;0,6171;60,1414
66221,4178;90,8453;1,1039;88,8800;0,6145;60,1552
66557,4422;91,0355;1,0999;88,8400;0,6106;60,8586
66881,3390;90,9787;1,0985;88,5600;0,6164;60,0828
67150,8578;90,9732;1,0992;88,8600;0,5897;60,5345
67423,4913;91,3568;1,0885;89,1200;0,6024;60,3793
67675,2047;91,1981;1,0938;89,3000;0,5983;60,4207
67999,1689;91,4547;1,0845;88,7800;0,6060;60,5000
68281,2922;91,4752;1,0840;88,7200;0,6087;60,5828
68559,4718;91,6220;1,0809;89,1600;0,6017;60,8276
68883,1400;91,5652;1,0808;89,0400;0,5997;60,6586
69156,8429;91,4870;1,0842;89,0000;0,6059;60,6241
69406,8936;91,5912;1,0823;89,1600;0,6053;60,6310
69707,7164;91,8951;1,0708;89,2400;0,6057;60,4724
69964,3364;91,6315;1,0799;89,0600;0,5978;60,7759
70258,3642;91,8320;1,0742;88,9600;0,5992;60,7828
70560,1576;91,6986;1,0759;88,9600;0,5996;60,8172
70854,5136;91,8628;1,0725;88,9400;0,5966;60,8172
71150,1892;91,8628;1,0713;89,0800;0,5967;61,0483
71479,0755;91,8738;1,0705;89,0000;0,5953;61,0724
71719,9292;91,9512;1,0705;88,9600;0,5979;61,0621
72033,4316;92,0309;1,0656;88,8400;0,6014;61,1690
72333,9255;91,9291;1,0692;89,0400;0,5973;60,9345
72598,6820;91,7609;1,0735;88,9000;0,5981;61,0483
72904,7284;91,7838;1,0723;88,9600;0,5988;61,0379
