;Train-Train;Train-Test;Test-Test
non-zero images;8010,000000;2005,000000;2005,000000
Mean Distance;136,299911;137,791336;152,928574
Minimal Distance;48,952938;46,898045;62,968651
2th;48,952938;56,827450;62,968651
3th;49,329422;56,988258;64,847076
4th;49,329422;57,631393;64,847076
5th;50,207840;59,862747;65,152939
6th;50,819603;60,384338;65,152939
7th;50,819603;60,596081;65,290222
8th;51,623528;61,372547;65,498039
9th;52,349022;62,023537;65,498039
10th;52,349022;62,164711;66,015701
11th;52,905880;62,341171;66,015701
12th;52,905880;62,741173;67,196098
13th;52,941174;63,007839;67,360779
14th;52,941174;63,749031;68,894142
15th;53,713722;64,415703;69,372551
16th;54,223526;64,517654;69,372551
17th;55,007843;65,341179;69,584312
18th;55,007843;65,623535;69,584312
19th;56,686275;66,192169;70,490204
20th;56,686275;66,309814;70,490204
21th;57,129410;66,811790;70,650986
22th;57,482346;66,956879;70,650986
23th;57,537262;67,019608;71,458824
24th;57,537262;67,184311;71,458824
25th;58,490192;67,419609;71,898041
26th;58,929409;67,654907;71,898041
27th;59,333332;68,113724;72,796082
28th;59,552940;68,509796;73,278435
29th;59,980389;68,541176;74,474518
30th;59,980389;68,827446;74,474518
31th;60,070583;68,952942;76,274506
32th;60,101959;69,098045;76,274506
33th;60,615696;69,223541;76,298042
34th;60,615696;69,764725;76,298042
35th;61,058823;69,874512;76,635315
36th;61,180389;69,878426;76,937263
37th;61,254902;70,592155;77,003929
38th;61,368626;70,662766;77,003929
39th;61,411777;70,898071;77,423538
40th;61,411777;71,384315;77,627449
41th;61,552944;71,419601;77,627449
42th;61,580387;71,450989;78,164703
43th;61,670593;71,501953;78,164703
44th;61,670601;71,658821;78,556885
45th;61,670601;71,862747;78,560799
46th;61,839211;71,917641;78,756866
47th;61,964703;72,223541;78,760780
48th;62,015678;72,325485;78,760780
49th;62,992153;72,376472;78,968628
50th;63,007851;72,584320;78,968628
51th;63,007851;72,603920;79,282372
52th;63,027443;72,968628;79,392159
53th;63,235298;73,066666;79,392159
54th;63,235298;73,199997;79,694138
55th;63,466667;73,615677;80,125488
56th;63,482361;73,784317;80,905884
57th;63,482361;73,815704;81,400009
58th;63,533333;73,827454;81,478424
59th;63,533333;74,105881;81,686279
60th;63,576469;74,674522;81,686279
