;Train-Train;Train-Test;Test-Test
174th;2,054970;2,437074;2,683545
175th;2,054970;2,438802;2,683773
176th;2,055089;2,440853;2,687000
177th;2,057967;2,445150;2,690882
178th;2,058590;2,449290;2,691267
179th;2,060575;2,453026;2,694599
180th;2,064984;2,458344;2,697406
181th;2,066078;2,460379;2,699193
182th;2,071123;2,462264;2,703351
183th;2,075980;2,465286;2,703351
184th;2,076891;2,466351;2,705179
185th;2,076891;2,468651;2,705563
186th;2,081793;2,469269;2,710093
187th;2,082409;2,469269;2,713334
188th;2,082409;2,470455;2,713807
189th;2,082438;2,471740;2,714729
190th;2,082614;2,473887;2,715897
191th;2,082614;2,473986;2,716437
192th;2,082848;2,475416;2,717784
193th;2,084342;2,476797;2,719378
194th;2,086684;2,479432;2,719760
195th;2,086684;2,479974;2,719760
196th;2,089314;2,482901;2,723460
197th;2,089314;2,483146;2,723460
198th;2,092175;2,483196;2,723483
199th;2,093633;2,485480;2,724491
200th;2,095324;2,485628;2,729080
