;Train-Train;Train-Test;Test-Test
non-zero images;8010,000000;2005,000000;2005,000000
Mean Distance;0,256493;0,257361;0,281346
Minimal Distance;0,105882;0,121569;0,133333
2th;0,105882;0,125490;0,133333
3th;0,113725;0,125490;0,145098
4th;0,113725;0,125490;0,145098
5th;0,117647;0,133333;0,145098
6th;0,117647;0,133333;0,145098
7th;0,121569;0,137255;0,149020
8th;0,121569;0,137255;0,152941
9th;0,125490;0,137255;0,152941
10th;0,125490;0,137255;0,152941
11th;0,125490;0,137255;0,152941
12th;0,125490;0,137255;0,156863
13th;0,125490;0,137255;0,156863
14th;0,125490;0,141176;0,156863
15th;0,125490;0,141177;0,156863
16th;0,125490;0,145098;0,156863
17th;0,125490;0,145098;0,156863
18th;0,125490;0,145098;0,156863
19th;0,129412;0,149020;0,156863
20th;0,129412;0,149020;0,156863
21th;0,129412;0,149020;0,160784
22th;0,129412;0,149020;0,160784
23th;0,129412;0,149020;0,160784
24th;0,133333;0,149020;0,164706
25th;0,133333;0,149020;0,164706
26th;0,133333;0,149020;0,164706
27th;0,133333;0,149020;0,164706
28th;0,133333;0,149020;0,164706
29th;0,133333;0,152941;0,164706
30th;0,133333;0,152941;0,164706
31th;0,133333;0,152941;0,164706
32th;0,133333;0,152941;0,164706
33th;0,133333;0,152941;0,164706
34th;0,133333;0,152941;0,164706
35th;0,133333;0,152941;0,164706
36th;0,133333;0,152941;0,164706
37th;0,133333;0,152941;0,168627
38th;0,133333;0,152941;0,168627
39th;0,133333;0,152941;0,168627
40th;0,133333;0,152941;0,168627
41th;0,137255;0,156863;0,168628
42th;0,137255;0,156863;0,172549
43th;0,137255;0,156863;0,172549
44th;0,137255;0,156863;0,172549
45th;0,137255;0,156863;0,172549
46th;0,137255;0,156863;0,172549
47th;0,137255;0,156863;0,172549
48th;0,137255;0,156863;0,172549
49th;0,137255;0,156863;0,172549
50th;0,137255;0,156863;0,172549
51th;0,141176;0,156863;0,172549
52th;0,141176;0,156863;0,176471
53th;0,141176;0,156863;0,176471
54th;0,141176;0,156863;0,176471
55th;0,141176;0,160784;0,176471
56th;0,141176;0,160784;0,176471
57th;0,141176;0,160784;0,176471
58th;0,141176;0,160784;0,176471
59th;0,141176;0,160784;0,176471
60th;0,141176;0,160784;0,176471
61th;0,141176;0,160784;0,176471
62th;0,141176;0,160784;0,180392
63th;0,141176;0,164706;0,180392
64th;0,141176;0,164706;0,180392
65th;0,141176;0,164706;0,180392
66th;0,141176;0,164706;0,180392
67th;0,141176;0,164706;0,180392
68th;0,141176;0,164706;0,180392
69th;0,141176;0,164706;0,180392
70th;0,141176;0,164706;0,180392
71th;0,141176;0,164706;0,180392
72th;0,141176;0,164706;0,180392
73th;0,141177;0,164706;0,180392
74th;0,141177;0,164706;0,180392
75th;0,141177;0,164706;0,180392
76th;0,141177;0,164706;0,180392
77th;0,141177;0,164706;0,180392
78th;0,145098;0,164706;0,180392
79th;0,145098;0,164706;0,180392
80th;0,145098;0,164706;0,180392
81th;0,145098;0,168627;0,180392
82th;0,145098;0,168627;0,180392
83th;0,145098;0,168627;0,180392
84th;0,145098;0,168627;0,180392
85th;0,145098;0,168627;0,184314
86th;0,145098;0,168627;0,184314
87th;0,145098;0,168627;0,184314
88th;0,145098;0,168627;0,184314
89th;0,145098;0,168627;0,184314
90th;0,145098;0,168627;0,184314
91th;0,145098;0,168627;0,184314
92th;0,145098;0,168627;0,184314
93th;0,145098;0,168627;0,184314
94th;0,145098;0,168627;0,184314
95th;0,145098;0,168627;0,184314
96th;0,145098;0,168627;0,184314
97th;0,145098;0,168627;0,184314
98th;0,145098;0,168627;0,184314
99th;0,145098;0,168627;0,184314
100th;0,145098;0,168627;0,184314
101th;0,145098;0,168627;0,188235
102th;0,145098;0,168627;0,188235
103th;0,145098;0,168627;0,188235
104th;0,149020;0,168627;0,188235
105th;0,149020;0,168628;0,188235
106th;0,149020;0,168628;0,188235
107th;0,149020;0,168628;0,188235
108th;0,149020;0,168628;0,188235
109th;0,149020;0,168628;0,188235
110th;0,149020;0,172549;0,188235
111th;0,149020;0,172549;0,188235
112th;0,149020;0,172549;0,188235
113th;0,149020;0,172549;0,188235
114th;0,149020;0,172549;0,188235
115th;0,149020;0,172549;0,188235
116th;0,149020;0,172549;0,188235
117th;0,149020;0,172549;0,188235
118th;0,149020;0,172549;0,188235
119th;0,149020;0,172549;0,188235
120th;0,149020;0,172549;0,192157
121th;0,149020;0,172549;0,192157
122th;0,149020;0,172549;0,192157
123th;0,149020;0,172549;0,192157
124th;0,149020;0,172549;0,192157
125th;0,149020;0,172549;0,192157
126th;0,149020;0,172549;0,192157
127th;0,149020;0,172549;0,192157
128th;0,149020;0,172549;0,192157
129th;0,149020;0,172549;0,192157
130th;0,149020;0,172549;0,192157
131th;0,149020;0,172549;0,192157
132th;0,149020;0,172549;0,192157
133th;0,149020;0,172549;0,192157
134th;0,149020;0,172549;0,192157
135th;0,149020;0,176471;0,192157
136th;0,149020;0,176471;0,192157
137th;0,149020;0,176471;0,192157
138th;0,149020;0,176471;0,192157
139th;0,149020;0,176471;0,192157
140th;0,149020;0,176471;0,192157
141th;0,149020;0,176471;0,192157
142th;0,149020;0,176471;0,192157
143th;0,149020;0,176471;0,192157
144th;0,149020;0,176471;0,192157
145th;0,149020;0,176471;0,192157
146th;0,149020;0,176471;0,192157
147th;0,149020;0,176471;0,192157
148th;0,149020;0,176471;0,192157
149th;0,152941;0,176471;0,192157
150th;0,152941;0,176471;0,192157
151th;0,152941;0,176471;0,196078
152th;0,152941;0,176471;0,196078
153th;0,152941;0,176471;0,196078
154th;0,152941;0,176471;0,196078
155th;0,152941;0,176471;0,196078
156th;0,152941;0,176471;0,196078
157th;0,152941;0,176471;0,196078
158th;0,152941;0,176471;0,196078
159th;0,152941;0,176471;0,196078
160th;0,152941;0,176471;0,196078
