time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
4400,0985;64,4569;2,4755;79,8240;1,1132;53,8000
8944,1922;67,4187;2,3167;80,0040;1,1209;53,7724
13664,2561;68,3069;2,2721;80,0240;1,1159;53,8276
18197,9740;68,6879;2,2510;80,0620;1,1170;53,8034
22717,4232;69,0064;2,2354;80,0000;1,1068;53,9138
27111,7654;69,2402;2,2240;79,9740;1,1196;53,7517
30409,0836;69,3820;2,2184;80,0740;1,1116;53,7793
34215,5275;69,4760;2,2121;80,0500;1,1213;53,9207
38168,2104;69,6045;2,2082;80,0440;1,1144;53,9276
41997,8881;69,6048;2,2069;80,0400;1,1146;53,9000
