time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
2922,1900;63,2766;3,5636;79,3400;1,6403;52,2310
5822,1415;64,0387;3,4733;79,2840;1,6546;52,1862
8690,3211;64,2789;3,4361;79,4240;1,5834;52,1621
11532,2543;64,1746;3,4084;79,5220;1,6103;51,5966
14453,0009;63,9882;3,4039;79,3120;1,6959;51,3966
17348,0512;64,3805;3,3880;79,3260;1,6728;51,3483
20342,8050;64,3931;3,3891;79,7740;1,4583;52,1586
23223,8747;64,1873;3,3892;79,7040;1,6151;51,6241
28774,0825;63,9760;3,3841;79,7600;1,5628;52,2069
34564,2827;64,3709;3,3620;79,5280;1,6123;51,9655
