time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
1704,4377;63,3358;3,4448;79,1880;1,5801;51,0621
3391,3461;63,2384;3,3621;78,8740;1,6246;50,1897
5060,2140;63,2914;3,3359;79,2220;1,5865;50,2724
6741,4199;63,0557;3,3162;78,8020;1,5899;49,3103
8418,0224;62,7595;3,3190;78,9080;1,6503;49,0483
10089,6983;62,9684;3,3126;78,3340;1,6352;48,7483
11751,8745;62,8338;3,3198;78,8840;1,4394;49,5414
13407,0860;62,3677;3,3265;78,4220;1,5462;48,5310
15116,3382;62,0368;3,3278;78,4020;1,5151;48,5448
16817,5618;62,2566;3,3163;78,3640;1,5783;49,5483
18480,7538;61,8620;3,3369;78,4120;1,5870;48,9621
20157,4115;61,8918;3,3389;78,3300;1,6231;48,2310
21818,3972;61,4084;3,3527;78,2860;1,5876;49,4345
23451,1616;61,4712;3,3481;77,9520;1,5734;48,3759
25077,3012;61,3136;3,3633;77,8940;1,5294;47,5517
26687,1612;61,1066;3,3695;77,8220;1,6029;48,9448
28313,1582;60,9556;3,3807;77,4420;1,6449;48,2690
29971,9420;60,6447;3,3985;77,3160;1,5692;47,8069
31637,5414;60,4057;3,4101;77,0420;1,6332;48,2759
33328,1372;60,6204;3,4020;77,2080;1,6078;46,6552
35047,2630;60,3220;3,4145;77,1520;1,5543;46,9069
36770,2190;60,1273;3,4342;76,9860;1,6855;46,8931
38502,0708;59,8319;3,4373;76,6100;1,5469;47,7241
40207,8408;59,4802;3,4728;77,0900;1,5142;47,2931
41868,5678;59,8544;3,4465;76,9500;1,5970;47,7759
43518,4993;59,6131;3,4660;76,9520;1,6239;47,3276
45160,5290;59,4647;3,4779;76,8680;1,5523;46,8552
46825,8193;59,1977;3,4892;76,4440;1,6885;46,9655
48450,9543;58,7111;3,5237;76,3800;1,6616;46,6690
50055,7395;58,8251;3,5245;76,6500;1,4979;47,5724
