;config_530_avg
Standard_Acc;92,2800
RMSCE;0,1893
gaussian_noise;64,3080
shot_noise;63,8520
impulse_noise;64,3440
defocus_blur;66,2240
glass_blur;55,5520
motion_blur;70,3760
zoom_blur;61,4160
snow;68,2640
frost;64,6240
fog;78,4400
brightness;87,8200
contrast;79,0120
elastic_transform;72,7040
pixelate;81,4520
jpeg_compression;80,2200
speckle_noise;71,3920
gaussian_blur;68,7480
spatter;77,2840
saturate;87,1480
blue_noise_sample;75,7040
brownish_noise;83,6360
caustic_refraction;76,4040
checkerboard_cutout;75,2560
cocentric_sine_waves;35,7040
inverse_sparkles;45,9760
perlin_noise;83,3280
plasma_noise;60,8640
single_frequency_greyscale;46,5280
sparkles;84,0880
Acc_C-all-19;71,7463
Acc_C-original-15;70,5739
Acc_C-bar-10;66,7488
Acc_all-ex-pixelwise-noise-24;70,4612
RMSCE_C;0,1598
Acc_A;9,7059
Acc_R;60,2171
Acc_Sketch;58,7380
Acc_ES-auto_exposure;0,0000
Acc_ES-param_control;0,1323
Acc_V2;84,4000
uniform-l1,1403.4,False,max;91,9200
uniform-l2,10.37,False,max;90,8000
uniform-linf,0.1446,False,max;85,1200
uniform-l0.5,200000000.0,True,max;91,2000
uniform-l1,2500.0,True,max;91,3200
uniform-l2,8.0,True,max;91,5200
uniform-l10,0.07,True,max;91,6800
uniform-l50,0.035,True,max;91,4600
uniform-linf,0.015,True,max;91,6400
uniform-l0-impulse,0.01,True,max;87,9600
uniform-l0-impulse,0.02,True,max;85,2000
uniform-l0-impulse,0.05,True,max;79,6600
uniform-l0-impulse,0.1,True,max;68,5000
uniform-l0-impulse,0.2,True,max;46,4200
uniform-l0-impulse,0.5,True,max;9,7200
uniform-l0.5,200000000.0,False,max;91,2200
uniform-l0.5,500000000.0,False,max;88,4200
uniform-l0.5,1000000000.0,False,max;82,8800
uniform-l0.5,2000000000.0,False,max;69,3800
uniform-l0.5,5000000000.0,False,max;29,6600
uniform-l0.5,10000000000.0,False,max;7,5800
uniform-l1,1000.0,False,max;92,3000
uniform-l1,5000.0,False,max;89,0400
uniform-l1,10000.0,False,max;84,3200
uniform-l1,20000.0,False,max;69,5800
uniform-l1,50000.0,False,max;21,5400
uniform-l1,100000.0,False,max;3,5600
uniform-l2,5.0,False,max;91,7800
uniform-l2,10.0,False,max;90,9800
uniform-l2,20.0,False,max;88,4800
uniform-l2,50.0,False,max;78,7400
uniform-l2,100.0,False,max;51,6400
uniform-l2,200.0,False,max;9,9800
uniform-l10,0.05,False,max;91,9600
uniform-l10,0.1,False,max;91,2400
uniform-l10,0.2,False,max;89,4400
uniform-l10,0.5,False,max;81,9000
uniform-l10,1.0,False,max;60,3000
uniform-l10,2.0,False,max;12,9200
uniform-l50,0.02,False,max;92,1800
uniform-l50,0.05,False,max;90,9600
uniform-l50,0.1,False,max;88,6000
uniform-l50,0.2,False,max;83,3400
uniform-l50,0.5,False,max;52,3400
uniform-l50,1.0,False,max;7,1800
uniform-linf,0.02,False,max;92,2200
uniform-linf,0.05,False,max;90,4400
uniform-linf,0.1,False,max;88,1400
uniform-linf,0.2,False,max;80,0200
uniform-linf,0.5,False,max;39,8200
uniform-linf,1.0,False,max;3,4600
Class Separation Robustness;89,2800
imperceptible Robustness;91,4700
Average p-norm robustness;65,5952
