;Train-Train;Train-Test;Test-Test
non-zero images;49990,000000;9997,000000;9996,000000
Mean Distance;9,412988;9,486563;9,995295
Minimal Distance;0,011049;0,009568;3,430212
2th;0,011049;0,011049;3,430212
3th;0,011049;0,022097;3,678834
4th;0,011049;1,133378;3,678834
5th;0,011049;1,409675;3,790987
6th;0,011049;2,688635;3,953897
7th;0,015625;2,693376;3,953897
8th;0,015625;3,091461;4,075086
9th;0,803207;3,137222;4,103251
10th;0,803207;3,264429;4,103251
11th;0,854389;3,267045;4,169387
12th;0,854389;3,275031;4,261966
13th;0,877647;3,323390;4,377455
14th;0,877647;3,448296;4,386035
15th;0,922801;3,462762;4,386035
16th;0,922868;3,500663;4,392251
17th;0,954277;3,640105;4,392251
18th;0,954277;3,663721;4,489537
19th;0,967552;3,744511;4,489537
20th;0,967552;3,765528;4,517247
21th;1,042493;3,803236;4,517247
22th;1,042493;3,899995;4,529687
23th;1,080048;3,948560;4,555538
24th;1,080048;3,975665;4,569985
25th;1,490878;3,979823;4,592398
26th;1,490878;3,996733;4,592398
27th;1,603657;4,063491;4,616692
28th;1,603657;4,070965;4,616692
29th;2,902425;4,082822;4,617551
30th;2,902425;4,096224;4,617551
31th;2,907321;4,096268;4,645857
32th;2,931551;4,112879;4,650203
33th;2,931551;4,123461;4,661012
34th;2,936461;4,131328;4,662551
35th;2,936461;4,137390;4,666529
36th;2,936814;4,144758;4,677646
37th;3,045552;4,158540;4,691762
38th;3,086165;4,164891;4,691762
39th;3,086165;4,168655;4,724683
40th;3,113176;4,177270;4,724683
41th;3,113176;4,178526;4,746890
42th;3,140295;4,195247;4,756985
43th;3,140295;4,231606;4,758871
44th;3,196983;4,239849;4,775924
45th;3,238806;4,241749;4,792751
46th;3,238806;4,247026;4,792751
47th;3,342874;4,255691;4,794837
48th;3,359575;4,258479;4,814567
49th;3,365202;4,273345;4,826051
50th;3,365202;4,313774;4,826051
51th;3,368501;4,338843;4,836739
52th;3,386086;4,340113;4,850676
53th;3,398608;4,355789;4,862413
54th;3,398608;4,388206;4,875138
55th;3,409474;4,388866;4,880568
56th;3,409474;4,390681;4,899677
57th;3,430426;4,409518;4,899677
58th;3,436932;4,423358;4,899683
59th;3,437003;4,456276;4,906074
60th;3,468064;4,459980;4,935435
61th;3,480361;4,463475;4,947380
