;config_217_avg
Standard_Acc;98,5533
RMSCE;0,0682
gaussian_noise;82,6000
shot_noise;89,9000
impulse_noise;84,3000
defocus_blur;60,8000
glass_blur;57,8000
motion_blur;51,1000
zoom_blur;27,2000
snow;96,5000
frost;97,0000
fog;97,5000
brightness;98,1000
contrast;98,4000
elastic_transform;93,1000
pixelate;77,2000
jpeg_compression;89,0000
speckle_noise;89,8000
gaussian_blur;77,4000
spatter;91,5000
saturate;98,1000
blue_noise;72,4000
brownish_noise;98,3000
checkerboard_cutout;53,8000
circular_motion_blur;58,5000
inverse_sparkles;73,0000
lines;58,8000
pinch_and_twirl;97,4000
ripple;88,4000
sparkles;59,6000
transverse_chromatic_abberation;63,6000
Acc_C-all-19;81,9632
Acc_C-original-15;80,0333
Acc_C-bar-10;72,3800
Acc_all-ex-pixelwise-noise-24;77,5875
RMSCE_C;0,0801
uniform-l1,130.9,False,max;98,3561
uniform-l2,2.611,False,max;98,2410
uniform-linf,0.1303,False,max;95,9231
uniform-l0.5,700000.0,True,max;98,4218
uniform-l1,125.0,True,max;98,4054
uniform-l2,2.0,True,max;98,3561
uniform-l10,0.06,True,max;98,3068
uniform-l50,0.04,True,max;98,3232
uniform-linf,0.01,True,max;98,3561
uniform-l0-impulse,0.01,True,max;97,5670
uniform-l0-impulse,0.02,True,max;96,1039
uniform-l0-impulse,0.05,True,max;91,2214
uniform-l0-impulse,0.1,True,max;68,3873
uniform-l0-impulse,0.2,True,max;16,2913
uniform-l0-impulse,0.5,True,max;2,6796
uniform-l0.5,500000.0,False,max;98,4383
uniform-l0.5,1000000.0,False,max;98,4054
uniform-l0.5,2000000.0,False,max;98,1095
uniform-l0.5,5000000.0,False,max;95,3313
uniform-l0.5,10000000.0,False,max;79,7633
uniform-l0.5,20000000.0,False,max;21,9957
uniform-l1,100.0,False,max;98,3890
uniform-l1,200.0,False,max;98,2410
uniform-l1,500.0,False,max;97,2711
uniform-l1,1000.0,False,max;90,2515
uniform-l1,2000.0,False,max;35,5581
uniform-l1,5000.0,False,max;2,6303
uniform-l2,1.0,False,max;98,3890
uniform-l2,2.0,False,max;98,3068
uniform-l2,5.0,False,max;97,8465
uniform-l2,10.0,False,max;94,2298
uniform-l2,20.0,False,max;54,5126
uniform-l2,50.0,False,max;2,6303
uniform-l10,0.05,False,max;98,3396
uniform-l10,0.1,False,max;98,2246
uniform-l10,0.2,False,max;97,3040
uniform-l10,0.5,False,max;79,7140
uniform-l10,1.0,False,max;10,0608
uniform-l10,2.0,False,max;2,6303
uniform-l50,0.02,False,max;98,3890
uniform-l50,0.05,False,max;98,2574
uniform-l50,0.1,False,max;97,4684
uniform-l50,0.2,False,max;92,2242
uniform-l50,0.5,False,max;13,7761
uniform-l50,1.0,False,max;2,6303
uniform-linf,0.01,False,max;98,4054
uniform-linf,0.02,False,max;98,3725
uniform-linf,0.05,False,max;98,1917
uniform-linf,0.1,False,max;97,0903
uniform-linf,0.2,False,max;88,6569
uniform-linf,0.5,False,max;6,9702
Class Separation Robustness;97,5067
imperceptible Robustness;98,3616
Average p-norm robustness;71,6489
